Beyonc%C3%A9,Lady+Gaga,Lana+Del+Rey,Amy+Winehouse,Ariana+Grande,Lu%C3%ADsa+Sonza,Rihanna,Nicki+Minaj,Anitta,Pabllo+Vittar,Mar%C3%ADlia+Mendon%C3%A7a,Megan+Thee+Stallion,Britney+Spears,Gloria+Groove,JAY-Z,Sam+Smith,Azealia+Banks,Bruno+Mars,Evanescence,Adele,Katy+Perry,Camilo,Taylor+Swift,Shakira,Marisa+Monte,Tini,Danna+Paola,Los+%C3%81ngeles+Azules,Doja+Cat,Jesse+&+Joy,Jorge+&+Mateus,Ventino,Sebastian+Yatra,Alessia+Cara,Cali+&+El+Dandee,Carly+Rae+Jepsen,RBD,Anavit%C3%B3ria,Kylie+Minogue,Demi+Lovato,Carrie+Underwood,Epica,Angra,Halestorm,Kacey+Musgraves,Miranda+Lambert,Maroon+5,Alice+in+Chains,Linkin+Park,System+of+a+Down,Cassadee+Pope,Little+Big+Town,Amaranthe,The+Band+Perry,Stone+Sour,Incubus,Red+Hot+Chili+Peppers,Kelly+Clarkson,Slipknot,The+Weeknd,Billie+Eilish,Miley+Cyrus,Lorde,Arcade+Fire,Troye+Sivan,Dua+Lipa,Florence+%252B+the+Machine,Madonna,J%C3%A3o,Tame+Impala,twenty+one+pilots,Selena+Gomez,Ellie+Goulding,Zara+Larsson,Sabrina+Carpenter,Tove+Lo,Years+&+Years,Sofia+Carson,Little+Mix,Foster+the+People,Muse,Keane,Lifehouse,Coldplay,The+Killers,James+Blunt,The+Fray,Two+Door+Cinema+Club,Imagine+Dragons,Mumford+&+Sons,3+Doors+Down,Tom+Odell,Oasis,Arctic+Monkeys,Laura+Pausini,Phillip+Phillips,Damien+Rice,C%C3%A9line+Dion,Black+Eyed+Peas,Glee+Cast,Drake,Keyshia+Cole,Aaliyah,The+Script,Alicia+Keys,Grupo+Revela%C3%A7%C3%A3o,Raphaela+Santos,Calcinha+Preta,P%C3%A9ricles,Banda+Calypso,Ra%C3%A7a+Negra,Wanessa,ROSAL%C3%8DA,Camila+Cabello,Justin+Timberlake,Ke$ha,Iggy+Azalea,Adam+Lambert,Dulce+Mar%C3%ADa,Fifth+Harmony,One+Direction,Paramore,(G)I-DLE,Mariah+Carey,Foo+Fighters,Rita+Lee,Jessie+James,P!nk,Lily+Allen,Tinashe,Sheryl+Crow,Young+the+Giant,Christina+Aguilera,Alanis+Morissette,M.I.A.,Kali+Uchis,SZA,St.+Vincent,Sky+Ferreira,Fiona+Apple,Charli+XCX,Mitski,Kate+Bush,Weyes+Blood,Angel+Olsen,Beach+House,Bj%C3%B6rk,Becky+Hill,Avril+Lavigne,Anne-Marie,Inna,MC+Carol,Alok,David+Guetta,Bebe+Rexha,Roxette,Alan+Walker,Metallica,Bad+Bunny,Queen,Wesley+Safad%C3%A3o,Pink+Floyd,Travi$+Scott,The+Beatles,blink-182,Liam+Gallagher,Pearl+Jam,aespa,Harry+Styles,Ava+Max,Jake+Bugg,5+Seconds+of+Summer,Justin+Bieber,Panic!+at+the+Disco,Zayn,PRETTYMUCH,Ed+Sheeran,Emblem3,Ti%C3%AA,zimbra,Ivete+Sangalo,Sandy,Fergie,Clarice+Falc%C3%A3o,Z%C3%A9+Neto+&+Cristiano,Joelma,Marina,Justin+Hurwitz,Hans+Zimmer,Kendrick+Lamar,Alexandre+Desplat,Ramin+Djawadi,Nicholas+Britell,Michael+Giacchino,The+1975,Chris+Brown,TLC,Kehlani,Frank+Ocean,Kanye+West,Halsey,J.+Cole,Janelle+Mon%C3%A1e,BROCKHAMPTON,Fletcher,Bring+Me+the+Horizon,The+Neighbourhood,%ED%83%9C%EC%97%B0,LOO%CE%A0%CE%94,%EC%86%8C%EB%85%80%EC%8B%9C%EB%8C%80,TWICE,Red+Velvet,M%C3%98,Foxes,HAIM,The+Kooks,BLACKPINK,blackbear,The+Vamps,Fall+Out+Boy,Calvin+Harris,Jessie+J,OneRepublic,James+Arthur,Jason+Der%C3%BClo,Meghan+Trainor,Selena+Gomez+&+the+Scene,Sheppard,Fernanda+Brum,Bridgit+Mendler,Owl+City,Charlie+Puth,Pentatonix,Lea+Michele,Marina+&+the+Diamonds,Melanie+Martinez,Natalia+Kills,IAMX,The+Pretty+Reckless,30+Seconds+to+Mars,My+Chemical+Romance,Breaking+Benjamin,Maria+Beth%C3%A2nia,Cazuza,Legi%C3%A3o+Urbana,Belo,Placebo,Nirvana,Bastille,Anah%C3%AD,Major+Lazer,LUDMILLA,Shawn+Mendes,Priscilla+Alc%C3%A2ntara,Tiago+Iorc,Chay+Suede,Echosmith,James+Bay,Ryan+Tedder,Cher+Lloyd,P.O.D.,Killswitch+Engage,Deftones,Papa+Roach,A+Day+to+Remember,Angels+&+Airwaves,36+Crazyfists,Lamb+of+God,As+I+Lay+Dying,Parkway+Drive,Korn,All+That+Remains,Limp+Bizkit,Rise+Against,Underoath,The+Word+Alive,August+Burns+Red,Sepultura,Raimundos,Los+Hermanos,The+Smiths,Queens+of+the+Stone+Age,Pantera,Ratos+De+Por%C3%A3o,Soulfly,Joy+Division,Matanza,Eagles+of+Death+Metal,Anthrax,Maglore,Engenheiros+Do+Hawaii,Charlie+Brown+Jr.,BTOB,4minute,%ED%98%84%EC%95%84,Willow,Son+Lux,%EB%A0%88%EB%93%9C%EB%B2%A8%EB%B2%B3,%EB%A7%88%EB%A7%88%EB%AC%B4,Tkay+Maidza,Aurora,Hailee+Steinfeld,Birdy,Tokio+Hotel,Sleeping+With+Sirens,PVRIS,Hilary+Duff,Manu+Gavassi,Nick+Jonas,Colbie+Caillat,Jonas+Brothers,Tori+Kelly,Luan+Santana,Sia,The+Maine,Kitten,iamamiwhoami,BANKS,Hurts,Paloma+Faith,Lykke+Li,Belinda,BTS,f(x),EXO,%EC%84%B8%EB%B8%90%ED%8B%B4,MAMAMOO,Gabrielle+Aplin,Bigbang,2NE1,%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8,Catfish+and+the+Bottlemen,McFly,All+Time+Low,Simple+Plan,Good+Charlotte,Cheryl,Neon+Jungle,Myl%C3%A8ne+Farmer,Patricia+Kaas,Helena+Paparizou,No+Doubt,Bertine+Zetlitz,Ruslana,Dido,Scissor+Sisters,Z%D0%B5%D0%BC%D1%84%D0%B8%D1%80%D0%B0,Bon+Iver,Ben+Howard,John+Mayer,Portugal.+The+Man,The+xx,Men+I+Trust,Spice+Girls,Girls+Aloud,RuPaul,The+Saturdays,%EC%97%AC%EC%9E%90%EC%B9%9C%EA%B5%AC,Lindsay+Lohan,Cher,Jesse+McCartney,Delta+Goodrem,Ashlee+Simpson,Jessica+Simpson,Jennifer+Lopez,Eric+Saade,Shania+Twain,Skye+Sweetnam,Three+Days+Grace,Nightwish,Kerli,Within+Temptation,A*Teens,Marilyn+Manson,Lillix,B.A.P,%E5%B0%91%E5%A5%B3%E6%99%82%E4%BB%A3,Zebrahead,Girl%27s+Day,SHINee,Sum+41,EXO-K,Ashley+Tisdale,The+Offspring,M.+Pokora,Marc+Anthony,Danny+Romero,Kany+Garc%C3%ADa,Alejandro+Fern%C3%A1ndez,Sin+Bandera,Vanessa+Hudgens,Eros+Ramazzotti,HA-ASH,Alejandro+Sanz,Ana+Carolina,Michael+Jackson,Green+Day,Theme,Die+100.000+Mark+Show,Britt+Nicole,Sugababes,Miranda+Cosgrove,Monrose,Anastacia,Timbaland,Nelly+Furtado,HELLO+VENUS,Block+B,DJ+Boonie,Flo+Rida,will.i.am,Robin,Big+Bang,MGMT,Banda+do+Mar,Agridoce,Pollo,Niall+Horan,Claudia+Leitte,Rouge,Nine+Inch+Nails,David+Bowie,Swans,RYTHEM,Wonder+Girls,PJ+Harvey,%E6%A4%8E%E5%90%8D%E6%9E%97%E6%AA%8E,Sadie,Asking+Alexandria,Smosh,DaizyStripper,Tom+Felton,Pierce+the+Veil,DIR+EN+GREY,Draco+and+the+Malfoys,Versailles,Screw,Eminem,Of+Mice+&+Men,the+GazettE,Azis,Nicole+Scherzinger,Leona+Lewis,Novos+Baianos,Marcelo+Camelo,Nando+Reis,The+Strokes,Vanguart,Led+Zeppelin,C%C3%ADcero,Noel+Gallagher%27s+High+Flying+Birds,Mallu+Magalh%C3%A3es,Chico+Buarque,Apanhador+S%C3%B3,Little+Joy,Pitty,Gaby+Amarantos,Caetano+Veloso,AC%2FDC,Emicida,Guns+N%27+Roses,The+Rolling+Stones,Johnny+Hooker,Scalene,Bob+Marley,Os+Mutantes,Banda+U%C3%B3,A+Rocket+to+the+Moon,Ne-Yo,Sara+Bareilles,Michelle+Branch,Garbage,Regina+Spektor,Vanessa+Carlton,Kimbra,Lady+Antebellum,Boyce+Avenue,NX+Zero,Christina+Perri,Renato+Vianna,David+Cook,He+Is+We,Daughtry,Melanie+C,DJ+Khaled,Grimes,The+National,DUDA+BEAT,Jaloo,Allie+X,D%C3%A9cum,Sexy+Zebras,Eels,Ramones,Blue+Fetish,El+Giro+de+la+Sierpe,L%C3%A4%C3%A4z+Rockit,A+Nossa+Turma,Adrian+Belew,Amaia+Montero,Baby+Boomers,Berri+Txarrak,Black+Cold+Bottles,Black+Pistol+Fire,Black+Rebel+Motorcycle+Club,Charming+Liars,Dan+Auerbach,Dead+Heavens,Shygirl,Bladee,Yung+Lean,Sophie,Kim+Petras,FKA+twigs,Slayyyter,Brooke+Candy,Hannah+Diamond,Cardi+B,Becky+G,Karol+G,Migos,Zella+Day,Seafret,Kings+of+Leon,Of+Monsters+and+Men,Silva,Broods,Milky+Chance,Radiohead,Soda+Stereo,Editors,Above+&+Beyond,Alina+Baraz,Audioslave,Rina+Sawayama,ionnalee,Hana,Amado+Batista,Sophia+Abrah%C3%A3o,Sandy+e+Junior,Jullie,Christopher+von+Uckermann,Larissa+Manoela,Gusttavo+Lima,Lexa,Laura+Marano,Zez%C3%A9+Di+Camargo+&+Luciano,Zedd,Fresno,Machine+Gun+Kelly,Jade+Baraldo,Jorja+Smith,Jack+Johnson,Jaden+Smith,The+Black+Keys,M%C3%A5neskin,Masego,Bhad+Bhabie,Jaira+Burns,Emily+Vaughn,Bazzi,Post+Malone,Skylar+Grey,Neon+Hitch,White+Lies,CHVRCHES,MS+MR,Daughter,Ferrugem,Lagum,Z%C3%A9+Neto++Cristiano,The+Chainsmokers,Matu%C3%AA,Ella+Mai,Khalid,Vintage+Culture,Djavan,Marina+Sena,IZA,Urias,C%C5%93ur+de+Pirate,a-ha,Lucy+Rose,Elton+John,The+Hundred+in+the+Hands,Metric,Austra,James+Blake,Woodkid,Gazelle+Twin,Sleigh+Bells,Vince+Staples,XXYYXX,Lia+Clark,MONSTA+X,Jessie+Ware,Sufjan+Stevens,Iron+&+Wine,Sabrina+Claudio,Talos,Blanco+White,TOPS,The+Vaccines,Arnaldo+Antunes,FIDLAR,Caroline+Polachek,Vampire+Weekend,Gal+Costa,B%C3%A1rbara+Eug%C3%AAnia,Alex+Winston,Tokyo+Police+Club,The+Jesus+and+Mary+Chain,Yeah+Yeah+Yeahs,Kaiser+Chiefs,Castello+Branco,Olly+Murs,Take+That,Purity+Ring,Franz+Ferdinand,Gotye,Angus+&+Julia+Stone,Alabama+Shakes,White+Rabbits,Lou+Reed,Bruce+Springsteen,Amadou+&+Mariam,The+White+Stripes,Luka+Bloom,The+Shins,Bob+Dylan,Andrew+Bird,Steve+Earle,U2,Will+Champlin,Mondo+Man,DJ+Sugar+Rush,Galinha+Pintadinha,Mundo+Bita,Olivia+Rodrigo,DJ+Mel,ClockedOutBoyz,user_id
1.0,0.597354527072568,0.34822230959334977,0.24001067175915525,0.20708829476522128,0.1632273646371602,0.1570377443271175,0.14994102448887892,0.13355987418557627,0.12406200853740733,0.12267467984722534,0.11381711974837115,0.11323017299483261,0.11008200404403505,0.10677375870590879,0.10527971242417435,0.10202482588182431,0.09973039766344641,0.09700909907885868,0.09439451808582341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6762
,,,,,,,,,,,,,,,,,,,,1.0,0.9318725099601594,0.8221115537848607,0.6480079681274901,0.5609561752988048,0.5439243027888446,0.5401394422310757,0.5136454183266932,0.4776892430278884,0.47390438247011946,0.43037848605577683,0.42091633466135453,0.3849601593625498,0.37549800796812743,0.3527888446215139,0.32629482071713145,0.3206175298804781,0.1048804780876494,0.30169322709163343,0.2827689243027888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6763
,,,,0.23891817798397302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.7946541543652467,0.5901096583719949,0.4474694221847322,0.3767503163222269,0.32446225221425556,0.3158477435681147,0.2992197385069591,0.29601433994095316,0.2861978068325601,0.25875158161113454,0.25855124420075914,0.25594685786587934,0.2547448334036272,0.229702657106706,0.2194854491775622,0.21688106284268238,0.2160797132011809,0.20566216786166175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6764
0.2594303655528145,0.5653734021080961,0.5542946849069298,,0.3045974433729536,,0.22704642296479027,,,,,,0.23876429692756224,,,,,,,,,,1.0,,,,,,,,,,,,,0.24281228975106528,,,0.24409060327427673,,,,,,,,,,,,,,,,,,,,,0.5423637586902893,0.3766091051805337,0.3538125140165956,0.3167414218434626,0.30054945054945054,0.2543171114599686,0.2432383942588024,0.23301188607311057,0.23301188607311057,0.22555505718771024,0.21873738506391566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6765
0.5397923875432526,0.37684132476520016,,,0.6200939199209096,,,,,,,,1.0,,,,,,,,,,0.33692535837864557,,,,,,,,,,,,,,0.5792387543252595,,0.5449579831932774,,,,,,,,,,,,,,,,,,,,,,,0.29747899159663865,,,,0.42755808205635193,,0.49236282748393473,,,0.5172516065249629,0.4942412259021255,0.43413247652001974,0.39515570934256056,0.3552397429560059,0.33598615916955016,0.3176717745921898,0.3101581809194266,0.30170538803756797,0.2829214038556599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6766
,,0.17889871220378667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2574038189818739,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6845989261636591,0.5406281538896289,0.5165435388155505,0.4531104921077066,0.39309071091195347,0.35435590004440676,0.29936013887206814,0.2886217754632433,0.25050058536191516,0.20827580638650034,0.19730733519034355,0.19216826127326309,0.18714424124984863,0.16539905534697832,0.16482378587864843,0.16478543458075975,0.16470873198498243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6767
0.29640996901167005,0.2056504252653788,,,,,1.0,0.33223775301641717,,,,,0.2225621414913958,,,,,,,0.20082745434166283,,,,0.27473791784795937,,,,,,,,,,,,,,,,,,,,,,,0.2613338168391903,,,,,,,,,,,,,0.248305531746555,,,,,,,0.248305531746555,0.21673699479132325,,,,,,,,0.21698753873541238,,,,,,,,0.25056042724335725,,,,,,,,,,,,,,,0.5224006065800751,0.4370903936177227,0.3576053273554427,0.31313377727962016,0.2352772466539197,0.20965912837080503,0.20865695259444844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6768
0.08537056550755182,,,,1.0,,0.09070951879171057,,,0.13642430628732,0.19415173867228663,,0.07836318932209344,0.0750263435194942,,,,0.09037583421145065,,0.1324200913242009,,,0.06935370565507552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08570425008781174,,0.0750263435194942,,,,0.07769582016157359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07002107481559536,,,,,,0.1144011239901651,0.10439058658236741,0.0910432033719705,0.07736213558131366,0.07435897435897436,0.07168949771689498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6769
0.19156237904786477,1.0,0.8355179976777191,,0.19916139852922204,0.1630047735776029,0.14155592826732033,,,0.8673848535672817,0.11508192491291447,,,,,,,,,,0.1664365888272481,,0.17979615533479554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16925557992517093,0.127951232099084,,,,,,,,,0.14658108631144368,,,,,,,0.39869694233002195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39894207199071086,0.2288220874725842,0.22257128112501612,0.15589601341762352,0.1257450651528835,0.11459166559153657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6770
1.0,,0.2444153522607781,,0.39287907465825445,,0.2522870662460568,0.21878233438485806,,,,,0.15007465825446897,,,,,,,,0.15049421661409043,,0.18242060988433229,,,,,,,,,,,,,0.1753880126182965,,,,0.30087592008412195,,,,,,,,,,,,,,,,,,,,,,,,,0.16154258675078864,,,,,,,0.1591850683491062,,,,,,,,,,,,,,,,,,,,,,,,0.15129337539432175,,,,,,,,,,,,,,,,,,,,0.15504942166140906,,0.45647213459516295,0.25808096740273395,0.24423554153522609,0.19814405888538378,0.1716919032597266,0.15476971608832807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6771
