Pop,Electronic,Indie,R&B,Alternative,Hip-Hop,Rock,Metal,Ambient,Folk,Darkwave,Industrial,Electro,Gothic,House,Symphonic Metal,Country,J-Pop,J-Rock,Visual Kei,Alternative Rock,Goth,Experimental,Heavy Metal,Power Metal,Progressive Metal,Folk Metal,Glam Metal,Hard Rock,Hair Metal,Hip Hop,Gangsta Rap,Chicano Rap,G-Funk,Rap,Dance,Gothic Rock,Post-Punk,Art Rock,Pop Rock,Indie Rock,Progressive Rock,Alternative Metal,Dark Ambient,Grunge,Soul,Punk,Sertanejo,Emo,Latin,Teen Pop,K-Pop,Contemporary,Synth-pop,Electropop,Acoustic,Singer-Songwriter,Synth-Pop,Classic Rock,Funk,MPB,Latin Pop,Adult Contemporary,Pop Punk,Soundtrack,Epic,Pop-Rock,Progressive,Gothic Metal,Punk Rock,Melodic Death Metal,Classical Crossover,Acapella,Synthpop,New Wave,Jazz,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
0.7,0.6,0.7,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
,,,,0.7,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
,0.8,,,,0.5,0.7,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
,0.6,0.8,,0.9,,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
0.9,,,0.7,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
0.9,0.6,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
