Pop,Electronic,R&B,Alternative,World,Rock,Brazilian Rock,Heavy Metal,Dance,Soul,Indie,Folk,Country,Hip-Hop,Latin,Metalcore,Progressive Metal,Djent,Latin Pop,MPB (Popular Brazilian Music),Punk,Glam Rock,Sertanejo,Samba,Classical,Bossa Nova,Pop Rock,Emo,K-Pop,Alternative Rock,Boy Band,Classic Rock,Jazz,Showtunes,Synth-pop,Speech/Spoken Word,Indie Rock,Smooth Jazz,Contemporary Jazz,Ambient,Flamenco,Pop-Rock,Electropop,Indie Pop,Alternative R&B,Symphonic Metal,Gothic Metal,Industrial Metal,Trance,Synthpop,Teen Pop,Italian Music,Psychedelic,Experimental,Art Pop,Metal,New Age,MPB (Brazilian Popular Music),Psychedelic Rock,Post-Punk,ASMR,Soundtrack,user_id
0.9,0.7,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162
,,,0.6,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163
0.9,0.6,0.7,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164
0.5,0.7,,0.8,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165
0.6,,,0.8,,0.7,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166
0.9,,0.8,,,,,,,0.7,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167
0.9,0.5,0.7,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168
0.9,,0.8,,,,,,,0.7,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169
0.9,,,0.5,,0.7,0.3,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170
0.9,0.6,,0.7,0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1171
0.9,0.6,0.8,,,,,,,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172
0.9,,,0.7,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173
,0.6,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174
0.7,,,,,0.6,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175
0.6,0.7,,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176
0.9,0.6,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177
0.6,,,0.7,,0.9,,,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178
0.6,,,0.8,,0.7,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179
0.9,,0.8,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180
0.8,0.5,0.9,,,,,,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181
0.9,,0.8,,,,,,,,0.7,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182
0.8,0.5,,0.9,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183
0.9,,,,,,,,0.8,0.7,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186
,,,0.8,,0.8,,,,,0.9,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188
0.9,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189
0.9,0.5,,0.8,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190
0.9,,,,,0.7,,,,0.6,,,,,,,,,,,0.5,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192
0.9,,0.7,,,,,,,0.8,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194
