Alternative Rock,Indie Pop,Post-Hardcore,R&B,Film Score,Rock,Metal,Punk,Hardcore,Alternative,Hip Hop,Rap,Alternative R&B,Indie,Pop,Brazilian,Country,Classic Rock,Indie Folk,Pop Punk,Folk,Psychedelic,Reggae,Brazilian Pop,Soul,Electronic,Dance,Chillout,Nu-Jazz,Downtempo,K-Pop,Synth-pop,Sertanejo,MPB (Brazilian Popular Music),Hip-Hop,Indie Rock,Post-Punk Revival,New Wave,Latin,Gospel,Ambient,Forr\u00f3,Experimental,Synthwave,World,Progressive Rock,Teen Pop,Disco,Funk,Grunge,Blues,Gothic Rock,Post-Punk,Rockabilly,Psychedelic Pop,Brazilian Indie,Progressive,World Music,Brazilian Rock,Metalcore,Post-Grunge,Hard Rock,Heavy Metal,Gothic Metal,Darkwave,Lo-Fi,user_id
0.9,0.7,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507
,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508
,,,0.8,,,,,,,0.9,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509
,,,,,0.7,,,,0.9,,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510
,,,,,0.9,,,,,,,,,0.8,0.5,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511
,,,,,0.9,0.6,,,0.8,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512
,,,,,0.7,,,,0.6,,,,0.9,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513
,,,,,,,0.6,,,,0.8,,0.5,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514
,,,,,0.6,,,,0.8,,,,0.9,,,,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515
,,,,,0.6,,,,0.7,,,,0.8,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518
,,,0.7,,0.5,,,,,,,,0.6,0.9,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519
,,,,,0.6,,,,,,,,,0.9,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520
,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.8,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522
,,,,,0.7,,,,,,,,0.6,0.9,,,,,,,,,,,,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523
,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524
,,,,,0.7,,,,0.8,,,,,0.9,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525
