Pop,Alternative,Electronic,Indie,Latin,Indie Pop,Art Pop,Rock,Soul,Folk,Dance,R&B,Hip-Hop,Alternative Rock,Brazilian Pop,Indie Rock,MPB (Brazilian Popular Music),Country,Hip Hop,Psychedelic Rock,Rap,Symphonic Metal,Sertanejo,MPB,Progressive Metal,Classic Rock,Metal,Christian/Gospel,Punk,Hardcore,Classical,Brazilian,Christian,Progressive Rock,Symphonic,Psychedelic,Ambient,Pop Rock,K-Pop,Reggae,Black Metal,Folk Metal,Russian Rock,Heavy Metal,Post-Rock,Doom Metal,Gothic Metal,Deathcore,Darkwave,Punk Rock,Pop Punk,Gothic Rock,Industrial,Gothic,Neofolk,Experimental,Death Metal,Thrash Metal,Extreme Metal,Dark Ambient,Jazz,Trip-Hop,Reggaeton,Psychedelic Pop,French Pop,J-Pop,Post-Metal,Synthpop,Goth,Blues,Viking Metal,Melodic Death Metal,Progressive,Hard Rock,Dark Folk,Trip Hop,Viking Music,Power Metal,Video Game Music,Synthwave,Psychedelic Trance,Blues Rock,Samba,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2065
,0.9,0.6,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067
0.9,0.7,,0.8,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069
0.9,0.7,0.6,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070
1.0,,0.6,,,,,,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071
0.9,,0.7,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2072
,,,,,0.9,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073
0.9,,,,0.6,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074
0.9,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075
0.8,0.8,,,,0.9,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077
0.9,0.5,,0.6,,,,,,0.4,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078
0.8,,0.6,,,,,,,,,,,,,0.9,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079
0.9,,,,,,,,0.6,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080
0.9,,0.7,0.8,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081
0.9,0.6,0.7,0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082
1.0,,,,,,,,,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083
0.9,0.5,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084
