Pop,R&B,Dance,Soul,Country,Pop Rock,Dance-pop,Teen Pop,Indie,Electronic,Rock,Folk,Alternative,Latin,Soundtrack,Adult Contemporary,Children's Music,Hip-Hop,Metal,Synth-pop,K-Pop,Punk,New Wave,Synthpop,Brazilian Music,Symphonic Metal,Brazilian,Experimental,Acoustic,Singer-Songwriter,Indie Rock,Hip Hop,Film Score,New Age,Gypsy Punk,Blues Rock,Psychedelic,Dream Pop,Indie Folk,Americana,Blues,Metalcore,Indie Pop,Post-Punk Revival,Alternative Dance,Sertanejo,Christian/Gospel,Progressive,Classical,Gospel,Pagode,Jazz,Alternative Rock,Post-Hardcore,Emo,K-pop,Pop-Rock,Classic Rock,Neofolk,Post-Punk,Industrial,Gothic Rock,Noise,Avant-garde,Dark Ambient,Ambient,Chillout,Downtempo,Martial Industrial,Gothic,Doom Metal,Progressive Metal,Black Metal,Post-Industrial,Techno,Progressive Rock,Medieval Folk,Psychedelic Rock,Grunge,Rap,Ska,Darkwave,Thrash Metal,Heavy Metal,Hardcore,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2182
0.9,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184
1.0,0.6,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2185
0.9,0.8,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186
0.9,0.7,,,,,,,0.5,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187
0.9,,,,,,,,0.7,0.6,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188
0.9,,,,0.6,,,,,,0.7,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190
0.9,,,,,,,0.7,,,,,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191
0.7,,,,0.6,,,,,0.4,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192
0.9,,0.8,,,,,,0.6,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2193
0.9,0.5,,,,,,,0.7,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2194
0.6,,,,,,,,,,0.9,,,0.3,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195
0.9,,,,,,,,0.7,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2196
1.0,,0.9,,,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197
0.9,0.6,0.8,,,,,,,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199
0.9,0.7,,,,,,,0.6,,,,0.5,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200
0.9,0.7,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201
0.9,,,,0.6,,,,,0.5,0.7,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2202
