Country,Pop,Indie,Alternative,Folk,Dubstep,Electronic,Deathstep,Drum and Bass,Dark Trap,Rock,Punk,Metal,Pop Punk,Alternative Rock,Emo,Pop Rock,Indie Rock,Post-Punk,R&B,Hip-Hop,Glam Rock,Hard Rock,French Pop,Classic Rock,Psychedelic,Funk,Classical,Dance,K-Pop,Rap,Video Game Music,Soul,Blues,Jazz,Smooth Jazz,Fusion,Synthpop,New Wave,Sertanejo,Post-Rock,Experimental,Latin,Grunge,Disco,Britpop,Synth-pop,Indie Pop,Teen Pop,Dance-pop,Brazilian Pop,Gothic,New Age,Contemporary,Hip Hop,Industrial,Garage Rock,Punk Rock,Audiobook,Dream Pop,EDM,Progressive,Ambient,Shoegaze,German Pop,Eurodance,Gothic Metal,Schlager,Jam Band,Indie Folk,user_id
0.7,0.9,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2557
,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2558
,0.9,,0.5,,,0.6,,,,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2559
,0.9,0.5,0.6,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560
0.6,,0.7,0.8,,,,,,,0.9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2561
,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2562
,0.5,,,0.6,,,,,,,,,,0.9,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563
,0.9,,,,,0.8,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2564
,0.6,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565
,0.5,,,,,,,,,0.9,,,,,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2566
,,0.9,0.7,0.8,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2567
