Electronic,Pop,Indie,Classical Crossover,Ambient,K-Pop,Alternative Rock,Pop Punk,Indie Pop,Rock,Alternative,Rap,Punk,Pop Rock,Emo,Hardcore,Hip Hop,Metal,Classic Rock,Punk Rock,Post-Grunge,Indie Rock,Post-Punk,Psychedelic Pop,Jazz,Folk,Heavy Metal,Death Metal,Black Metal,Hard Rock,Power Metal,Thrash Metal,Melodic Death Metal,Russian Rap,Progressive Rock,Art Rock,Experimental,Hip-Hop,Reggae,Post-Hardcore,Synthpop,Industrial,Darkwave,Neofolk,Nu-Metal,Progressive,R&B,Dance,Teen Pop,Country,Blues,Film Score,Progressive Metal,Instrumental Rock,Psychedelic Rock,Boy Band,MPB,Grunge,Soul,Contemporary R&B,Gothic Rock,Latin Pop,Gothic,New Wave,Avant-garde,Trip-Hop,Goth,EBM,Symphonic,Gothic Metal,Symphonic Black Metal,Symphonic Metal,Soundtrack,Neue Deutsche H\u00e4rte,Acoustic,Techno,Dark Electro,Aggrotech,Comedy,Alternative Metal,Classical,Opera,World,Audiobook,Psychedelic,Glam Metal,Christian Rock,user_id
0.8,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3629
,,,,,0.8,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3630
,0.7,,,,,,,,0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3631
,,,,,,0.8,0.9,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3632
,,,,,,0.8,0.9,,,,,,,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3633
0.6,,,,,,,,0.5,0.9,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634
,,,,,,0.8,0.7,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3635
,,,,,,0.8,,,,,,,,,,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3636
,0.8,0.7,0.5,,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3637
,0.6,0.9,,,,,,,0.7,0.8,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3638
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3640
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.5,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3642
,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.9,,,0.7,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3643
,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3645
0.6,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3646
,,,,,,,,,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3647
,,,,,,0.4,,,,,,,,,,,,,0.7,,,,,,,,0.5,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3649
