Pop Punk,Alternative Rock,Emo,Indie Pop,Rock,Alternative,Indie,Punk,Blues,Pop,Classic Rock,J-Pop,Blues Rock,Orchestral,Power Metal,Gothic Rock,Glam Metal,Post-Hardcore,Folk,French Pop,Indie Rock,Post-Punk,Electronic,R&B,Dance,Gothic,Symphonic Metal,Folk Metal,Film Score,Melodic Death Metal,K-Pop,Hip-Hop,Experimental,Darkwave,Industrial,Metal,Grunge,Ambient,Rap,Synthpop,Electropop,Hip Hop,Alternative Metal,Gothic Metal,Progressive Metal,Goth,EBM,Game Soundtrack,Heavy Metal,Comedy,Progressive Rock,Doom Metal,Country,Celtic,Shoegaze,Dream Pop,J-Rock,Hard Rock,Pop Rock,Nu Metal,Classical,Metalcore,MPB,New Wave,Electro,Swing,Medieval Rock,Neue Deutsche H\u00e4rte,Black Metal,Death Metal,Folk Punk,Post-Grunge,Folk Rock,Soul,Techno,Synthwave,Trance,Drum and Bass,Deathcore,Post-Rock,Psychedelic,Punk Rock,Garage Rock,Art Pop,Latin Rock,Reggae,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3999
,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4003
,,,,0.8,0.6,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4004
,,,,,,,,,0.7,0.9,0.6,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005
,,,,,,,,,0.5,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006
,,,,0.8,0.8,0.9,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4007
,,,,,0.6,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4008
,,,,0.7,0.9,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4009
,,,,0.7,0.5,,,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010
,,,,0.6,,,,,0.9,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4011
,,,,0.7,,,,,0.9,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4012
,,,,0.6,,0.5,,,0.9,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4013
,,,,0.6,0.4,,,,0.8,,,,,,,,,,,,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014
,,,,0.7,,0.5,,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4015
,,,,0.6,0.7,0.5,,,0.9,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016
,,,,0.7,0.5,,0.4,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4017
,,,,0.7,0.4,,0.5,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4018
