Folk Metal,Progressive Metal,Darkwave,Alternative,Indie Pop,Classic Rock,Psychedelic Rock,Folk,Progressive Rock,Blues Rock,Pop,Metal,Hip-Hop,Rock,Punk,Indie,Alternative Rock,Indie Rock,Punk Rock,Grunge,Hard Rock,R&B,MPB (Brazilian Popular Music),Electronic,Film Score,Heavy Metal,Folk Rock,Rap,Soul,Jazz,Dream Pop,Shoegaze,Art Pop,Industrial,Gothic Metal,Trip Hop,Ambient,Gothic Rock,Synth-pop,Gothic,Goth,Synthpop,Post-Punk,Alternative Metal,Classical,Experimental,Hardcore,Neofolk,Goth Rock,Electro-Goth,Noise,Funk,K-Pop,Psychedelic,Synth Pop,Country,House,Post-Rock,Dark Ambient,New Wave,Black Metal,Alternative Hip Hop,Celtic,Synthwave,Neue Deutsche H\u00e4rte,Singer-Songwriter,Ska,Emo,Blues,Neo-Soul,Symphonic Metal,Baroque Pop,Pop Rock,Reggae,Latin,World,Electro Swing,Trip-Hop,World Music,Electronica,Downtempo,Soundtrack,Indie Folk,Grime,Dance,New Age,Doom Metal,Post-Metal,Nu Metal,Chiptune,Breakcore,Power Metal,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4112
,,,,,0.9,0.8,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4113
,,,0.8,,,,,,,0.6,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4114
,,,0.9,,,,,,,0.6,,0.7,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4116
,,,,,,,0.6,,,,0.7,0.5,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117
,,,,,0.6,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4118
,,,,,,,,,,0.7,,,,,,0.8,,,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4119
,,,0.7,,,,,,,,,0.6,0.8,,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4120
,,,0.7,,,,,,,,,0.7,0.6,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4121
,,,,,,,,,,,,,,,,0.8,0.9,0.7,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4122
,,,0.9,,,,,,,,,,0.8,0.5,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4123
