Gothic Rock,Darkwave,Doom Metal,Symphonic Metal,Post-Punk,Gothic Metal,Progressive Rock,Folk Metal,Heavy Metal,Thrash Metal,Power Metal,Melodic Death Metal,Industrial,Death Metal,Electronic,Punk,Alternative,Indie,Rock,Metal,Parody,Trance,R&B,Pop,Rap,Hard Rock,Grindcore,Synthwave,Dream Pop,Gothic,Jazz,Folk Rock,Experimental,New Wave,Alternative Rock,Grunge,Emo,Trap,Nu Metal,Synthpop,Progressive Metal,Black Metal,Shoegaze,Neofolk,Post-Metal,Progressive,EBM,Futurepop,Hardcore,Goth Rock,Indie Rock,Dance,Soul,Latin,Synth-pop,Indie Pop,Ambient,K-Pop,Hip-Hop,Teen Pop,Psychedelic,Blues,Folk,Electro Pop,Pop Rock,Punk Rock,Hip Hop,Classic Rock,Sertanejo,Baroque,Alternative Pop,Jewish Folk,Post-Rock,Pop Punk,Post-Hardcore,Techno,House,Stoner Rock,Surf,Reggae,Garage Rock,Art Rock,Baroque Pop,Trip Hop,Britpop,Blues Rock,Soft Rock,Indie Folk,Latin Folk,Latin Rock,Garage,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4237
,0.6,0.8,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4238
,,,0.5,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4239
0.9,0.7,,,,,,,,,,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240
,,,,0.7,,,,,,,,,,,0.8,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4241
,,,,,,,,,,,,0.9,,0.8,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4242
,,,,,,,,,,,,,,0.6,0.5,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4243
,,,,,,,,,,,,,,,,0.7,0.8,,,,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244
0.7,,,0.5,,,,,0.9,,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245
0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246
