Pop,Rock,R&B,Alternative,K-Pop,Latin,Electronic,Teen Pop,Dance,Indie,Country,Hip-Hop,Sertanejo,J-Pop,Singer-Songwriter,Alternative R&B,Experimental Pop,Hip Hop,Soul,Folk,Film Score,Punk,Indie Rock,Pop Rock,Metal,Rap,Experimental,Electropop,Indie Pop,Synth-pop,Reggae,Alternative Rock,Post-Hardcore,Rap Rock,Dream Pop,MPB (Brazilian Popular Music),French Chanson,Italian Pop,Post-Grunge,Hard Rock,Brazilian Rock,Ambient,Disco,Progressive Metal,Post-Rock,Hardcore Punk,Christian,Grunge,Jazz,Classical,Visual Kei,J-Rock,Death Metal,Melodic Death Metal,Alternative Metal,Heavy Metal,Nu Metal,Industrial,Gothic,Classic Rock,Anime,Post-Punk,Anime Score,Brazilian Music,Progressive Rock,Gospel,Blues Rock,Grime,Progressive,Pop Punk,Psychedelic,Trap,Reggaeton,Psychedelic Rock,Indie Folk,Emo,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4588
0.9,,,,0.8,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4589
0.9,,,,,0.6,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4591
1.0,,0.7,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4592
1.0,,0.8,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4593
0.9,,0.7,0.4,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4594
0.9,0.6,0.6,,,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4595
0.9,,0.7,,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4596
1.0,,0.7,,,,0.4,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4597
0.9,,0.8,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4598
0.9,0.7,,0.7,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599
0.9,,0.7,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600
0.9,,0.7,,,,,0.8,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4601
0.9,,0.5,,0.7,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4602
0.9,0.6,,0.7,0.5,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4603
0.9,,0.6,0.5,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4604
0.9,,0.7,,,0.5,,,,0.4,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4606
