Rock,Metal,Electronic,Alternative,Rap,Gothic Metal,Psychedelic Rock,Grunge,Symphonic Metal,Gothic Rock,Alternative Metal,Industrial Rock,Darkwave,Alternative Rock,Pop,Soul,Classic Rock,Adult Contemporary,Doom Metal,Progressive Metal,Metalcore,Post-Hardcore,Screamo,R&B,Indie,Hip-Hop,Death Metal,Folk Metal,Post-Punk,Progressive,Stoner Rock,Hard Rock,Glam Metal,Classical,Ambient,Punk,Emo,Heavy Metal,Visual Kei,J-Rock,Video Game Music,Pop Rock,Latin,Soft Rock,Celtic,J-Pop,K-Pop,Dance,Film Score,Indie Rock,Art Rock,Experimental,Post-Rock,Experimental Rock,Trip Hop,Hip Hop,Synthwave,Psytrance,Garage Rock,Brazilian Music,Black Metal,Punk Rock,Industrial,Blackgaze,Nordic Folk,Power Metal,Meditation,Shoegaze,Dream Pop,Gothic,Progressive Rock,Funk Rock,Latin Rock,Folk,Britpop,MPB (Brazilian Popular Music),Reggaeton,Jazz,Regional Mexican,New Wave,Reggae,Psychedelic,Psychedelic Pop,Indie Pop,Thrash Metal,Pop Punk,Lo-Fi,Post-Punk Revival,Surf Punk,Garage,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4842
,,0.6,0.8,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4843
,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4844
,,,,,,,,0.9,0.8,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4845
0.7,,0.6,0.9,0.5,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4847
0.8,,,,,,,,,,,,,,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4849
,,,,,0.9,,,0.8,,,,0.6,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4851
,,,,,,,,,,0.6,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4852
0.5,,,,,,,,,,,,,,0.9,,,,,,,,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4855
,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4856
0.9,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4858
,,,,,,,,,,,,,0.7,,,,,,0.8,0.9,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859
0.9,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860
0.9,0.6,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4861
,,,0.6,,,,,,,,,,,0.5,,,,,,,,,,0.8,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4863
0.9,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4865
0.9,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4867
,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4868
0.8,0.9,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4870
,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4871
0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4873
0.7,,,0.5,,,,,,,,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4874
0.8,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4875
0.9,0.6,,0.8,,,,,,,,,,,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4877
0.8,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4878
0.6,,,0.5,,,,,,,,,,,0.9,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4879
0.6,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4881
,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4882
,0.5,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4883
