Pop,R&B,Hip-Hop,Dance,Latin,Rock,Country,Indie,Alternative,Electro,Electronic,Rap,Reggaeton,Funk Carioca,K-Pop,Lo-fi,Pop Rock,Teen Pop,Dance-pop,Gospel,Sertanejo,Synth-pop,Soul,Brazilian Rock,Brazilian Music,Psychedelic,MPB (Brazilian Popular Music),Experimental,Brazilian Psychedelic,Folk,Latin Pop,Trip-Hop,World,Pop-Rock,Classical,Brazilian,Disco,Classic Rock,Hard Rock,Progressive Rock,Alternative Rock,Indie Rock,Metal,Soft Rock,Grunge,Reggae,Punk,Metalcore,Hardcore,Indie Pop,Dream Pop,Indie Folk,Nu Metal,Acoustic,user_id
0.9,0.7,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5484
0.9,,,0.8,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5487
0.9,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5488
0.9,0.8,,,0.5,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5489
0.9,,,,0.5,,,0.8,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5490
0.9,,,,,0.7,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5492
0.9,0.7,,,,,0.6,0.5,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5493
0.9,0.7,,,,,,,,,,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5494
0.9,0.8,0.6,,,,,0.7,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5495
0.9,0.7,,,,,,,0.6,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5496
0.9,0.7,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5497
0.9,,,,,,,,,,,,,,,,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5498
0.9,,0.6,,,0.8,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5499
0.9,0.7,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500
0.9,,,0.7,,0.6,,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5501
1.0,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5502
