Rock,Electronic,Worship,Pop,Brazilian,Teen Pop,Dance Pop,Contemporary R&B,Indie,R&B,Soul,Alternative,Pop-Rock,Folk,Country,Dance,Hip-Hop,K-Pop,Indie Rock,Jazz,Latin,Sertanejo,Pop Rock,Dance-pop,Contemporary,MPB (Brazilian Popular Music),Dream Pop,New Wave,Punk,Experimental,Art Pop,Alternative R&B,Hip Hop,Psychedelic Rock,Electropop,Synth-pop,Acoustic,Bossa Nova,MPB,Samba,Psychedelic,Forr\u00f3,Brazilian Music,World,Classical Crossover,Alternative Rock,Brazilian Rock,Pop Punk,Disco,Grunge,user_id
0.8,0.7,0.5,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5707
,,,1.0,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5708
0.5,,,0.9,,,,,0.7,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5709
0.7,,,0.9,,,,,0.8,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5710
0.7,,,0.9,,,,,0.8,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711
0.6,0.7,,0.9,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712
,,,0.9,,,,,,0.7,0.5,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5713
,,,0.9,,,,,0.4,0.7,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5714
,0.5,,0.9,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5715
0.5,,,0.9,,,,,0.7,,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5716
,,,0.9,,,,,,0.7,,,,,,,0.8,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5717
0.7,,,0.9,,,,,,0.5,,,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5718
,,,0.9,,,,,,,,0.7,,,,,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5719
,0.5,,0.9,,,,,,0.6,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5721
,,,1.0,,,,,,0.8,,,,,,0.7,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5722
0.5,0.6,,0.9,,,,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5723
,0.6,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5724
,,,0.9,,,,,,0.7,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5726
0.5,,,0.9,,,,,,0.7,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5727
,,,0.9,,,,,,,,,,,,0.7,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5728
,,,0.9,,0.8,,,,,,,,,0.7,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,5729
,,,0.9,,,,,,0.8,0.5,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5730
0.7,,,0.9,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731
,,,0.9,,,,,,0.7,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5733
,0.6,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5734
,,,0.8,,,,,,0.9,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735
,,,1.0,,0.8,,,,0.6,,,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,5736
0.7,,,0.9,,,,,0.6,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,5737
,,,0.9,,,,,,0.7,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5738
,0.5,,1.0,,0.7,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5739
,0.6,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5740
,,,0.9,0.8,,,,0.6,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5741
,,,1.0,,,,,,0.8,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5742
,0.5,,1.0,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5743
0.6,,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5744
,,,0.6,,,,,0.9,,,,,0.7,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,5745
0.7,,,0.9,,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,5746
0.7,0.6,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,5747
,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,5748
,0.6,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5749
,0.5,,0.9,,,,,0.8,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5750
,,,0.9,,,,,0.4,0.7,,,,,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5751
,,,0.8,,,,,,0.5,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,5753
,,,0.9,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,5754
,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,5755
0.6,,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5756
0.7,,,0.8,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,5757
0.6,,,0.9,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5758
,,,0.9,,,,,0.7,0.6,,0.5,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760
0.7,0.5,,0.9,,,,,0.6,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5761
,0.5,,0.9,,,,,0.8,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5762
0.5,0.7,,0.9,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5763
,,,0.8,,,,,0.9,0.7,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5764
,0.6,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5765
,0.6,,1.0,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5766
0.8,,,,0.6,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,5768
,0.6,,1.0,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5769
,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,0.9,,,,,,,,,5770
,,,0.9,,,,,0.7,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,5771
0.7,0.6,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,5772
,,,0.9,,,,,,0.7,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,5773
0.6,,,0.9,,,,,0.5,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5774
,0.6,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5775
,,,0.9,,,,,,0.8,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5776
0.7,,,0.9,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,5777
,,,0.9,,,,,,0.7,,,,,,0.8,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5779
0.5,,,0.9,,,,,0.4,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5780
0.8,,,0.9,,,,,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5781
,,,0.8,,,,,,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,,,,5782
,,,0.9,,,,,0.8,0.6,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5783
,0.5,,1.0,,,,,,0.7,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5784
0.7,,,0.9,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,5785
,0.6,,0.9,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5786
,0.7,,0.9,,,,,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5787
0.7,,,0.9,,,,,0.6,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5788
,,,0.9,,,,,,0.6,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5790
,0.6,,0.9,,,,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,5791
,0.6,,0.9,,,,,0.5,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5792
0.5,0.6,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5793
0.6,,,0.7,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,5794
,,,1.0,,,,,,0.7,,,,,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5795
,0.5,,0.9,,,,,0.7,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5796
0.7,,,0.8,,,,,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5797
,0.6,,0.9,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,5798
0.8,0.6,,,,,,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,5799
,0.4,,0.9,,,,,0.7,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800
,0.5,,0.9,,,,,0.8,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5801
,0.5,,0.9,,,,,0.6,0.7,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5803
,,,0.9,,,,,0.8,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5804
,0.7,,1.0,,,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5805
0.6,0.5,,0.9,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,5806
,0.6,,0.9,,,,,,0.7,,,,,,,0.5,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,5807
,0.6,,1.0,,,,,,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5808
,0.7,,0.9,0.5,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5809
,,,0.9,,,,,0.7,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5810
,0.6,,0.9,,,,,0.8,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5811
0.6,0.5,,0.9,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5812
,,,0.9,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,5813
,,,0.9,,,,,0.6,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5814
,,,0.9,,,,,,0.7,0.6,,,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5815
