Pop,Rock,Indie,Alternative,Punk Rock,Pop Punk,Reggae,Alternative Rock,Brazilian Rock,Folk,Brazilian,Acoustic,Classic Rock,MPB (Brazilian Popular Music),Psychedelic Rock,Indie Rock,Brazilian Hip Hop,Emo,Punk,R&B,Sertanejo,Dance,K-Pop,Hip-Hop,Electronic,Latin,Country,Metal,Ax\u00e9,Samba,Soul,Blues,Brazilian Pop,Hip Hop,Metalcore,Gospel,Rap,Funk Carioca,Experimental,Progressive Rock,Grunge,Heavy Metal,Bossa Nova,Pop Rock,World,Shoegaze,Jazz,New Wave,MPB,Dream Pop,Indie Pop,Indie Folk,Classical,Psychedelic Pop,Alternative R&B,Glam Rock,Psychedelic,Tropic\u00e1lia,Flamenco,Fado,Thrash Metal,Garage Rock,Surf Rock,Ambient,Funk,user_id
0.9,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578
,,,,0.9,0.8,0.6,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579
,0.7,0.9,0.8,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580
0.8,0.5,0.6,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581
0.7,,,0.6,,,,,,,,,0.8,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584
,,,,,0.9,,0.8,,,,,,,,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585
,0.8,,0.7,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586
0.9,0.7,0.6,,,,,,,,,,,,,,,,,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587
0.9,,,,,,,,,,,,,,,,,,,0.7,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588
0.7,0.8,0.9,0.8,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589
0.9,,0.7,,,,,,,,,,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590
0.8,0.7,0.5,0.6,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591
0.8,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592
0.9,,0.7,,,,,,,0.4,,,,,,,,,,0.5,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593
,0.8,,0.6,,,,,,,,,,,,,,,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594
0.9,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.5,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595
0.9,0.8,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596
0.9,,0.7,0.6,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597
,0.9,0.7,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598
,0.9,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599
0.9,,,,,,,,,,,,,,,,,,,0.7,,0.8,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600
,0.7,,,,,0.6,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601
0.7,0.8,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602
0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603
,0.9,0.6,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604
0.5,0.7,0.9,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605
0.8,0.6,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606
0.9,0.7,0.5,,,,,,,,,,,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607
0.5,,,,,,,,,,,,,0.8,,,,,,0.7,,,,,,,,,,,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,608
0.9,0.7,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,610
,,,,,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,611
0.7,,0.9,0.8,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,612
,,0.7,0.8,,,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,613
0.8,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,614
0.9,,,0.5,,,,,,,,,,,,,,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,615
0.8,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,616
0.8,0.9,0.6,,,,,,,,0.3,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617
0.7,0.6,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618
0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,619
,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,620
0.8,0.7,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621
