Progressive Rock,Pop,Heavy Metal,Alternative,Pop Rock,Indie,Electronic,Rock,Soul,Classic Rock,Punk,New Wave,Post-Punk,Punk Rock,Indie Rock,Brazilian Alternative,Hip Hop,Rap,Folk,Reggaeton,Latin,R&B,Alternative Rock,Indie Folk,Acoustic,Hard Rock,Dance,Hip-Hop,Russian Pop,Country,Alternative Metal,Post-Rock,Experimental Rock,Classical,Baroque,Romantic,Flamenco,Experimental,Finnish Music,Grunge,Blues,Reggae,Psychedelic,Psychedelic Rock,Metal,Bollywood,Film Score,Shoegaze,Brazilian,Trap,Brazilian Funk,K-Pop,MPB (Brazilian Popular Music),MPB,Samba,Sertanejo,Brazilian Music,Indie Pop,Symphonic Metal,Disco,Post-Hardcore,Brazilian Pop,user_id
0.8,0.7,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6044
,,,0.8,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6046
,,0.9,,,,0.6,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6047
,,,0.8,,,,0.9,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6048
,,,0.8,,0.9,,0.7,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6049
,0.6,,,0.9,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6050
,,,,,,0.6,0.7,,,,,,,,,0.9,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6052
,,,0.7,,,,,,,,,,,0.6,,,,,0.9,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6053
,,0.8,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055
,0.9,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6056
,0.5,,,,,,,,,,,,,,,,0.8,,,,0.6,,,,,,0.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6057
,0.4,,,,,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6058
,0.9,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6059
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,6062
,0.5,,0.9,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6063
,0.8,,,,0.5,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,6066
,,,0.8,,,,0.9,,,0.6,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,6068
,,,,0.7,,,,0.7,,,,,,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,6070
,0.7,,0.9,,0.8,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6073
,,,,,0.8,,0.8,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,6075
,0.5,,0.7,,0.9,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6076
