Pop,Rock,Indie,Electronic,MPB (Brazilian Popular Music),Grunge,Punk,Alternative Rock,Heavy Metal,Hard Rock,Classic Rock,Soul,New Wave,Garage,Alternative,Reggae,Metal,MPB,Samba,Bossa Nova,Tropic\u00e1lia,Brazilian Rock,K-Pop,Pop Punk,Rap,Brazilian Music,Progressive Rock,Psychedelic Rock,Doom Metal,Gothic Metal,Black Metal,Progressive,Blues,Glam Metal,R&B,Dance,Latin,Experimental,Christian Rock,Thrash Metal,Death Metal,Power Metal,Folk,Hip-Hop,Synthwave,Sertanejo,Sludge Metal,Dark Ambient,Country,Gothic Rock,Ambient,Jazz,Downtempo,Breakbeat,Darkwave,Melodic Death Metal,Drone,Post-Rock,Shoegaze,IDM,World,Industrial,Trance,Techno,Psychedelic,Atmospheric Black Metal,Space Music,Teen Pop,Indie Pop,Electropop,Hip Hop,Synthpop,Indie Rock,Funk Carioca,Classical,Gospel,Synth-pop,Electro,Pop Rock,C-Pop,J-Pop,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6171
,,0.6,,,0.9,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6173
0.6,0.9,,,,,,,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6174
,0.8,,,,,0.9,,,,,0.6,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6175
0.8,0.9,0.6,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6176
,0.9,,,,,,,,,0.8,,,,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6177
,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6180
,0.7,,,,,,,,,,,,,,,0.8,,,,,,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181
0.7,0.9,,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6182
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6183
,0.8,,0.5,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6185
,,,,,,,,,0.9,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6187
,0.9,,,,0.8,,,,,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6190
0.9,,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6191
,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6192
0.6,,0.9,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6193
,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6194
,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6195
,0.9,0.7,,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6196
0.7,0.6,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6197
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.8,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6199
,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6202
,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,6203
,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,6204
,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,6205
0.5,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,6207
