Pop,Hip-Hop,R&B,Alternative,Country,Dance,Indie,Electronic,Soul,Gospel,MPB (Brazilian Popular Music),Rock,Dream Pop,K-Pop,Alternative Rock,Indie Pop,Alternative/Indie,Latin,Downtempo,Folk,Hip Hop,Rap,Metal,Disco,Punk,Reggaeton,Pop Rock,Pop Punk,Experimental,J-Pop,Synthpop,Art Pop,Indie Rock,Electropop,Singer-Songwriter,Synth-pop,New Wave,Teen Pop,Dance-pop,Tropic\u00e1lia,Grunge,Jazz,Audiobook,Brazilian,Brazilian Rock,Sertanejo,Art Rock,Funk,Nu Metal,Psychedelic,Progressive Rock,Symphonic Metal,International,user_id
0.9,0.7,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6526
0.9,,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6527
0.9,,0.7,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6528
0.8,,0.9,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6529
0.9,,,,0.5,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6530
0.9,,0.8,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6531
0.9,0.6,0.7,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6532
0.9,,0.7,,,,0.8,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6533
0.7,,,0.8,,,0.9,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6535
0.9,,,,,,,0.6,,,,,,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6536
0.8,,,,,,,,,,,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6537
