Rock,Metal,Pop,Sertanejo,R&B,Indie Rock,Alternative Rock,Psychedelic Pop,Indie Pop,New Wave,Heavy Metal,Hard Rock,Thrash Metal,Classic Rock,Indie,Reggae,Alternative,Folk,Progressive,Blues,Psychedelic,MPB (Brazilian Popular Music),Hip-Hop,Jazz,Brazilian Rock,Hip Hop,MPB (Popular Brazilian Music),Trip-Hop,Instrumental Hip-Hop,Electronic,Downtempo,Punk,Latin,Nu Metal,Punk Rock,Metalcore,Alternative Metal,Hardcore,Grunge,Pop Rock,Surf Music,Brazilian,Psychedelic Rock,Experimental,MPB,Dance,K-Pop,Symphonic Metal,Country,Soundtrack,Soul,Rap,Teen Pop,Dance-pop,Samba,Indie Folk,Ska,Pop Punk,Emo,Lo-Fi,Brazilian Pop,Gothic,Post-Hardcore,Hardcore Punk,Brazilian Hip Hop,Gothic Rock,Mathcore,Classical,Power Metal,Glam Rock,Post-Grunge,Christian,Death Metal,Industrial,Film Score,Synthpop,Swedish,Progressive Metal,user_id
0.8,0.7,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7349
,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7350
,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7352
0.8,,0.7,,,,,,,,,,,,0.9,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7354
0.7,,0.8,,,,,,,,,,,,0.9,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7355
0.9,0.8,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356
,,,,,,,,,,,,,0.9,,,0.6,0.7,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7357
0.9,0.5,,,,,,,,,,,,,0.8,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7358
0.9,0.5,,,,,,,,,,,,,0.7,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7359
0.8,,0.5,,,,,,,,,,,,,,,0.7,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7360
0.9,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7361
,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7362
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7363
0.9,,0.7,,,,,,,,,,,,,,0.8,,,,,0.5,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7364
0.8,,0.9,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7366
0.9,0.6,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7367
,,,,,,,,,,,,,,0.7,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7368
0.8,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7369
,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7371
,,0.9,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7372
,,0.9,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7373
,,0.9,,,,,,,,,,,,0.8,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7374
0.7,,0.9,,,,,,,,,,,,0.4,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7375
0.6,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7376
,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7377
0.5,,0.9,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7378
0.7,,0.8,,,,,,,,,,,,0.6,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7380
0.6,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7381
0.6,,0.9,,,,,,,,,,,,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7382
0.7,,0.5,,,,,,,,,,,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7383
,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,7384
0.6,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7386
0.7,,0.8,,0.5,,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7387
0.5,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7388
0.6,,0.9,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7389
0.8,0.5,0.7,,,,,,,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7390
0.8,,0.9,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7391
,,1.0,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7392
0.7,,0.7,,,,,,,,,,,,0.6,,0.8,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7393
0.9,,0.8,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7395
,,0.9,,0.5,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7397
,,0.9,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7398
