Pop,Rock,Punk,Alternative,Pop Rock,R&B,Dance,Teen Pop,MPB (Brazilian Popular Music),Sertanejo,Rap,Indie,Pop Punk,Alternative Rock,Post-Hardcore,Grunge,Soul,K-Pop,Country,Children's Music,Soft Rock,Indie Pop,Folk,Electronic,Metal,Gospel,Nu Metal,Punk Rock,Indie Rock,Symphonic Metal,Metalcore,Blues,Experimental,Industrial,Noise,Hip-Hop,Reggae,Post-Grunge,Electronic Rock,Art Rock,Post-Rock,Emo,Progressive Rock,Shoegaze,Psychedelic,Progressive Metal,Synthwave,Heavy Metal,Classic Rock,Psychedelic Rock,Hard Rock,Blues Rock,Funk,Brazilian Rock,Gothic,Latin,Gothic Rock,Doom Metal,Post-Punk,Black Metal,Power Metal,Thrash Metal,Hardcore,Progressive,Alternative Metal,New Wave,Vallenato,Sludge Metal,Experimental Rock,Post-Metal,Death Metal,Musical,MPB,Brazilian Hip Hop,Melodic Death Metal,Punk Pop,Grindcore,Hardcore Punk,J-Rock,Glam Rock,Trance,Jazz,Classical,Gothic Metal,Christian/Gospel,user_id
0.9,0.7,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7591
1.0,,,,,0.6,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7592
0.8,,,,,0.7,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7593
,,,,,,,,,,,0.8,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7594
0.9,0.7,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7595
,0.9,0.6,0.7,0.5,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7596
0.9,,,,,0.8,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7597
0.9,0.7,,0.5,,0.4,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7598
0.9,,,,,,,,,0.8,,,,,,,,,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7599
0.8,0.9,0.7,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600
,,,,0.9,,,,,,,,,0.8,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7601
1.0,,,,,0.7,0.8,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7602
0.8,0.7,,,0.9,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7604
0.9,0.7,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7605
0.6,0.7,,0.9,,,,,,,,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7606
0.8,0.7,0.5,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7607
0.7,0.8,,0.9,,,,,,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7608
,,,,,,,,,,0.6,,,0.9,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7610
0.6,0.8,0.5,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7613
,,,,,,,,,,,,,0.9,,,,,,,,,,0.5,,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7615
0.8,,,,0.8,,,,,,,,,0.9,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7617
,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7618
0.5,0.9,,0.8,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7619
0.7,0.8,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7620
,0.9,0.5,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7622
,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7625
