Pop,R&B,Dance,Soul,Country,Latin,K-Pop,Hip Hop,Rap,Rock,Pop Rock,Hip-Hop,Indie,Folk,Electronic,Alternative,Experimental,Forr\u00f3,Boy Band,Metalcore,Brega,Sertanejo,Punk Rock,Reggaeton,Pop Punk,Banda,Alternative Rock,Classical,New Age,Ambient,Gothic Metal,Symphonic Rock,Indie Pop,Latin Pop,Ballad,Romantic,Punk,Metal,Grunge,Acoustic,Singer-Songwriter,Hardcore,Psychedelic,MPB,Synthpop,Shoegaze,Industrial,Psychedelic Rock,Brazilian,Classic Rock,Progressive Rock,New Wave,Pop-Rock,Gothic,Symphonic,Teen Pop,Britpop,Alternative Metal,Hard Rock,Reggae,Symphonic Metal,Gothic Rock,Power Metal,Indie Rock,Post-Hardcore,Garage Rock,user_id
1.0,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8347
0.9,0.7,,,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8348
,0.7,,0.6,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8349
0.6,0.8,,,,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8350
0.9,0.7,0.8,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8351
0.9,0.8,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8352
0.8,0.6,,,,,,,,,,0.7,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8353
0.9,0.7,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8354
0.9,0.7,0.8,,,,,,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8355
0.8,,,,,,0.5,,,0.7,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8356
0.9,,0.7,,,,0.7,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8357
0.7,,,,,,,,,,,,,,,,,0.8,0.9,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8358
0.8,0.9,,0.5,,,,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8359
0.7,0.9,,0.5,,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8360
0.9,0.8,0.7,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8362
0.8,0.9,,0.6,,,,,,,,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8363
0.7,0.8,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8364
0.8,0.9,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8365
,0.7,,,,,,,0.8,,,0.9,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8366
0.7,0.9,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8368
0.9,0.7,,,,,,,,0.6,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8369
,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.9,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8370
0.8,0.9,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8371
0.9,0.8,0.7,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8372
0.6,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8373
