Pop,Indie,Folk,Electronic,Rock,Alternative,Hip-Hop,R&B,Psychedelic,Christian,Metal,Punk,Indie Rock,Alternative Rock,Pop Rock,Sertanejo,Brazilian Rock,Art Pop,Post-Punk,Indie Pop,Grunge,Metalcore,Pop Punk,Post-Hardcore,Emo,MPB (Brazilian Popular Music),Funk Rock,Brazilian,Britpop,Hardcore,J-Pop,Electro,French Pop,Progressive Rock,Progressive Metal,Art Rock,Symphonic Metal,Gothic,Classic Rock,Blues,Jazz,Film Score,Psychedelic Rock,Punk Rock,Dance,Goth,Eurovision,New Wave,Experimental,Disco,Jazz Fusion,Dance Punk,Gothic Rock,Musical Theatre,Melodic Death Metal,Darkwave,Gothic Metal,Classical,Children's Music,Hard Rock,Synth-pop,Industrial,Synthpop,K-Pop,Rockabilly,Ska,Soul,MPB,Worship,Gospel,Christian/Gospel,Contemporary Worship,Latin Christian,Christian Rock,Contemporary,Contemporary Christian,Teen Pop,Latin,Electropop,Alternative R&B,Dream Pop,user_id
0.9,0.7,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8933
,0.9,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8935
,0.7,,,0.8,0.9,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8937
0.7,0.5,,,0.8,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8938
0.8,0.7,,,0.9,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8939
0.7,0.6,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8940
,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8941
0.8,0.5,,,0.7,0.6,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8942
0.6,0.9,0.5,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8943
0.6,0.8,0.5,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8944
,0.7,0.6,,,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8945
0.8,0.6,0.5,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8946
0.8,0.9,0.6,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8947
,,,,,,,,,,,,0.8,0.9,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8948
0.5,0.6,,,0.9,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8949
,0.9,0.6,,0.7,0.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8950
