Pop,Indie Rock,R&B,Alternative,Rock,Progressive,Metal,Experimental,Psychedelic,Indie,Electronic,Hip-Hop,Alternative Rock,Punk Rock,Post-Hardcore,Pop Rock,Punk,Hip Hop,Brazilian,Folk,Rap,Post-Punk,Metalcore,Emo,Hardcore,Blues,Garage Rock,Grunge,Brazilian Rock,Heavy Metal,Hard Rock,Progressive Rock,Brazilian Popular Music,Reggae,Psychedelic Rock,Britpop,MPB (Brazilian Popular Music),Tropicalia,Indie Pop,Gothic Rock,Glam Rock,Reggaeton,Jazz,Classic Rock,MPB (Popular Brazilian Music),Trip Hop,Country,Soul,Progressive Metal,Post-Grunge,Brazilian Music,Pop Punk,Alternative Metal,Nu Metal,Bossa Nova,Brazilian Pop,Skate Punk,J-Pop,Death Metal,Black Metal,Technical Death Metal,Deathcore,Dance,Samba,MPB,Power Pop,Symphonic Metal,user_id
0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9050
,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9051
0.5,,,0.8,0.7,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9052
0.9,,0.7,,0.6,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9054
,0.7,,,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9055
,,,0.8,0.9,,,,,0.8,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9056
0.9,,0.7,,,,,,,0.8,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9057
0.8,0.7,0.6,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9058
0.5,,,0.7,0.8,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9059
0.6,,,0.7,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9060
0.5,,,0.8,,,,,,0.9,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9061
0.7,,,0.9,0.6,,,,,0.8,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9063
,,,0.8,0.7,,,,,0.9,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9064
