Alternative,Pop,Indie,Rock,Brazilian,MPB (Brazilian Popular Music),Electronic,R&B,Dance,Folk,Grunge,Brazilian Rock,Psychedelic,Punk,K-Pop,Classical,Hip-Hop,Metal,Indie Rock,Post-Punk Revival,Rap,Synth-pop,Soul,Pop-Rock,Pop Punk,Psychedelic Rock,Classic Rock,Jazz,Ambient,Industrial,Post-Hardcore,Alternative Rock,Emo,New Wave,Heavy Metal,Italian Pop,Country,Progressive,Alternative Metal,Punk Rock,Sludge Metal,Funk,Reggaeton,Hard Rock,Christian Music,Blues,Experimental,Stoner Rock,Blues Rock,Nu Metal,Hip Hop,Progressive Rock,Grindcore,Pop Rock,Christian,Post-Punk,Neue Deutsche H\u00e4rte,Post-Rock,Soundtrack,Brazilian Pop,Indie Pop,MPB,Garage Rock,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9159
0.8,0.9,0.7,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160
,0.9,,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9161
,0.9,,,,,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9162
,0.9,0.7,0.6,,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9163
0.8,0.7,0.9,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9164
0.8,0.7,,0.9,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9165
0.8,,0.9,,0.5,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9166
0.8,0.7,0.9,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9167
0.7,0.8,0.6,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9168
,0.9,0.7,0.6,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9170
0.7,0.5,0.9,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9171
0.7,0.9,0.8,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9172
0.8,0.8,0.8,,,,,0.7,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9173
0.8,0.6,0.9,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9175
,0.9,,,,,,0.8,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9176
0.8,,0.6,0.9,,,,,,,,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9177
0.4,0.9,0.6,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9178
0.6,0.9,0.8,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9179
