Pop,Indie Rock,Samba/Pagode,Reggae,Alternative,Rock,Indie,K-Pop,Pop Rock,Alternative Rock,Latin Pop,Classic Rock,Electronic,R&B,Punk,MPB (Brazilian Popular Music),Latin,Hip-Hop,Psychedelic,Folk,Post-Punk Revival,Indie Pop,Garage Rock,Metal,Post-Punk,Britpop,Rap,Pop Punk,Emo,Brazilian Hip Hop,Punk Rock,Blues Rock,Metalcore,Country,Hip Hop,Skate Punk,Post-Hardcore,Hardcore,Brazilian Rock,Grunge,Punk Pop,Funk,Ska,Post-Rock,Progressive Metal,Heavy Metal,Folk Metal,Black Metal,Industrial,Gothic Metal,K-pop,Psychedelic Rock,Experimental,Soul,Classical,Nu Metal,Samba,Brazilian Alternative,Progressive Rock,Sertanejo,Emo Rap,Alternative Metal,Symphonic,Hard Rock,House,Techno,Dance,Symphonic Metal,Gothic Rock,Death Metal,Grindcore,Electropop,Doom Metal,Synthpop,Darkwave,Goth,J-Pop,J-Rock,user_id
0.8,0.7,0.9,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9388
0.8,,,,0.8,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9389
,0.9,,,,,,,0.8,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9390
0.7,,,,0.8,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9391
0.5,,,,0.8,,0.9,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9392
0.8,,,,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9393
,,,,0.7,0.9,0.8,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9394
0.9,,,,,0.5,0.4,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9395
,,,,,0.8,0.9,,,,,,0.6,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9396
,0.9,,,,,,,,0.8,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9397
0.7,,,,0.8,,0.9,,,,,,0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9399
,,,,0.8,0.8,0.9,,,,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400
0.8,,,,0.7,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9401
,,,,0.7,0.8,0.9,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9402
,,,,0.8,0.7,0.9,,,,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9403
0.8,,,,0.7,0.6,0.9,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9404
,0.9,,,,,,,,0.8,,,0.7,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9405
,,,,0.7,0.8,0.9,,,,,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9407
0.8,,,,0.6,0.7,0.9,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9408
0.6,,,,0.9,0.7,0.8,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9410
