Indie,Alternative,Rock,Pop,Psychedelic,Punk,K-pop,Post-Punk,Gothic Rock,Hip Hop,Electronic,Metalcore,R&B,Hip-Hop,Ambient,Brazilian Pop,Brazilian Hip-Hop,Rap,Underground Hip-Hop,Folk,Art Pop,Experimental,Indie Pop,Alternative R&B,K-Pop,J-Pop,Video Game Music,Dream Pop,Brazilian,Shoegaze,Metal,Gothic,Bossa Nova,Soul,Samba,Jazz Rap,Latin,Alternative Rock,Psychedelic Pop,Hard Rock,Pop Punk,Emo,Post-Hardcore,Indie Rock,Acoustic,Dance,Reggae,Heavy Metal,Blues,Thrash Metal,Folk Metal,Classic Rock,Blues Rock,Psychedelic Rock,Garage Rock,Brazilian Rock,Post-Punk Revival,Brazilian Music,Christian Music,Ska,Progressive Metal,Power Metal,Symphonic Metal,Pop Rock,Black Metal,Grunge,Hardcore,Punk Rock,Alternative Metal,Deathcore,Progressive Rock,Instrumental Rock,Country,Soundtrack,Flamenco Pop,Industrial Metal,Progressive,Nu Metal,Funk Rock,Comedy,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9495
0.8,0.7,0.9,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9496
0.7,,,,,,,0.8,0.6,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9497
0.5,0.7,0.8,,,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9499
,,0.7,,,,,,,,,,0.8,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500
,0.6,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9501
0.9,0.8,0.7,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9502
0.7,,0.6,0.8,,,,,,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9503
0.9,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9504
0.6,0.9,0.8,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9506
,,,,,,,,,,0.7,,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9507
0.9,0.8,,0.7,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9508
0.9,0.8,0.8,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9510
,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,0.8,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9511
0.9,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9512
0.7,0.8,,,,,,,,,,,,0.9,,,,,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9513
,,0.9,,,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9514
0.9,0.8,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9515
,0.6,,0.5,,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9517
0.9,0.8,0.6,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9518
,,,,,0.6,,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9519
0.9,0.8,0.6,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9520
0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9521
0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9522
0.8,0.9,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9523
0.7,0.5,,0.9,,,,,,,0.6,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9525
0.9,0.8,,,0.7,,,,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9526
0.9,0.7,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9528
,,,0.6,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9529
0.6,0.7,0.8,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9530
,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9531
0.9,0.8,0.6,,,,,,,,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9533
0.7,0.9,0.7,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9534
0.9,0.7,0.8,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9535
0.6,0.4,,0.5,,,,,,0.8,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9537
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9538
0.6,,0.5,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9539
,0.7,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9540
,,,1.0,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9541
0.6,0.8,0.9,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9542
,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.8,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9543
,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.8,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.6,,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,9545
,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,9546
,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,9547
0.8,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9548
,,0.9,,0.4,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,9550
,,0.8,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9551
0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,9552
,0.7,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,9553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.9,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,9554
0.6,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9555
,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,,9556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.6,,,,,,,,,,,0.5,0.8,,,0.7,,,,,,,,,,,,,,,,9557
,0.8,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,9558
0.6,0.8,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9559
,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,9560
,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.6,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,9561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.9,,,0.6,,,,,,,,,,0.7,,,,,,,0.5,,,,,,,,,,,,,9562
,0.8,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,9563
,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,9564
0.9,0.8,0.7,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9565
,0.8,0.7,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9566
,,,,,,,,,0.7,,,,,,,,,,,,0.5,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,9567
,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.8,,,,,,,,0.7,,,,,,,,,,9568
,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,9569
,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,9571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,9572
,,0.7,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,,,,,,,9573
,0.8,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,9574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.9,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.6,,,,,9575
,0.5,0.9,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,9576
,0.5,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9577
0.6,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9578
,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9579
,,0.9,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9580
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,,9581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,0.8,,,,,,,,,,,,,9582
,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9583
,,,,,,,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,9584
,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,9586
0.9,0.8,0.6,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9587
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.8,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,9588
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9589
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9590
0.9,0.7,0.7,0.8,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9591
