Punk,Heavy Metal,Indie Pop,Rock,Alternative,Power Metal,Folk Metal,Thrash Metal,Hard Rock,Death Metal,Black Metal,Viking Metal,Progressive Metal,Indie,Rap,Brazilian Hip Hop,Speed Metal,National Socialist Black Metal,Classic Rock,Metal,Psychedelic Rock,Reggae Fusion,Hip Hop,Ambient,Electronic,Post-Punk,Experimental,Hardcore,Grindcore,Extreme Metal,Industrial,Shoegaze,Darkwave,Avant-garde,Alternative Rock,Noise Rock,Pop,Gothic,Progressive,Classical,Country,Pop Rock,Electronic Dance Music,Gothic Rock,Progressive Rock,Dutch Pop,Comedy,Post-Rock,Folk,Punk Rock,Psychedelic,Jazz,Metalcore,Nu Metal,Blues,Soundtrack,Soul,Dance,Indie Rock,Alternative Metal,Swing,R&B,Grunge,Funk,Neofolk,Chanson,New Wave,Hip-Hop,K-Pop,Teen Pop,Dance-pop,Contemporary R&B,Latin,Indie Folk,Trap,Southern Rap,Gangsta Rap,Electropop,Samba/Pagode,World,user_id
0.8,0.7,0.6,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329
,0.9,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330
,,,,,,0.9,,,0.8,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332
0.7,,,0.8,,,,,,,,,,0.8,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2334
0.6,0.8,,,,,,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2335
,,,,,,0.6,,,0.8,0.9,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2336
,0.9,,,,0.7,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337
,,,,0.6,,,,,,,,,0.5,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338
,0.8,,,,0.9,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2339
,0.6,0.7,,,,,,,,,,,,,,,,,,0.8,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340
,,,,,,,,,,,,,0.6,,,,,,,,,,0.9,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2341
,0.9,,0.5,,0.6,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343
0.8,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2344
,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2346
,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.9,,,,,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347
,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348
,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2349
,,,0.9,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.5,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350
,,,0.7,,,,,,,,,,,,,,,,0.6,,,,0.5,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351
0.5,,,0.9,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352
,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354
,,,0.7,,,,,,,,,,,0.9,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2355
,,,,,,,,,,0.6,,,0.5,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2356
,,,,0.8,,,,,,,,,,,,,,,,,,,,0.7,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2359
,,,,0.7,,,,,,,,,0.8,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360
