Indie Pop,Alternative,Synth-pop,Electropop,Indie Rock,Pop,R&B,Dance,Electronic,Hip-Hop,Rock,Indie,Alternative R&B,Soul,Folk,Experimental,Country,Pop Rock,Grunge,Punk,New Wave,French,Rap,House,Techno,Electro,K-Pop,Alternative Rock,Post-Punk,Glam Rock,J-Pop,World,Classic Rock,Blues,Synthpop,Electroclash,Broadway,Retro,Adult Contemporary,Easy Listening,Ambient,Latin,Disco,Contemporary Christian,Electronic Dance Music,Soft Rock,Trip Hop,Teen Pop,Dance-pop,Contemporary R&B,Jazz,EDM,Contemporary,Electro Swing,Schlager,user_id
0.9,0.8,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3026
,,,,,1.0,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3028
,,,,,0.9,,,0.7,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3029
0.9,,0.8,,0.7,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3031
,,,,,0.7,0.9,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032
,,,,,0.8,0.9,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3033
,,,,,0.9,0.8,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3034
,0.8,,,,0.6,,,,,0.5,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3035
,0.6,,,,0.7,,,0.9,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3036
,,,,,0.9,0.7,,,0.7,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3037
,,,,,0.9,0.7,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3038
,,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039
,0.9,,,,,,,,,0.7,0.8,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040
,0.9,,,,0.6,,,,,0.7,0.8,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3041
,,,,,0.8,,,0.7,,0.9,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3042
,0.9,,,,,,,0.7,,0.8,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3043
,0.7,,,,0.8,,,,,0.9,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3044
,,,,,,,0.7,0.9,,,,,,,,,,,,,,,0.8,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3045
,,,,,0.9,,0.8,0.6,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3046
,,,,,1.0,0.8,0.7,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047
,,,,,0.7,,,,,,,,,,,,,,,0.9,,,,,,,0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,3048
,,,,,0.9,0.7,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3049
,,0.6,,,0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050
,,,,,0.9,,0.7,,,0.6,,,,,,,,,,,,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,3051
,0.5,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3052
,,,,,0.9,0.8,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3053
