Pop,Dance,R&B,Electronic,Alternative,Country,Indie,Darkwave,Ambient,Neofolk,Black Metal,Experimental,Post-Punk,New Wave,Alternative Rock,Russian Rock,Folk,Classic Rock,Psychedelic,Rock,Metal,Persian Music,Hip Hop,Avant-garde,Hip-Hop,Punk,Jazz,Progressive,Post-Rock,Hard Rock,Goth,Grunge,Art Pop,Classical,Soul,Psychedelic Rock,Brazilian Rock,Blues,Progressive Rock,Heavy Metal,Gothic Rock,Indie Rock,Dream Pop,Hardcore,Industrial,Space Rock,Garage Rock,Alternative Metal,Emo,Cloud Rap,Gothic Metal,Goth Rock,Power Metal,Gothic,EBM,Synthpop,J-Rock,Symphonic Metal,Pop Rock,Folk Rock,Art Rock,Neue Deutsche H\u00e4rte,Death Metal,Indie Pop,German Hip Hop,Film Score,Glam,Rap,Reggae,Folk Punk,Symphonic Rock,Electro,K-Pop,EDM,Worship,Dance-Pop,Pop Punk,Sertanejo,user_id
1.0,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3404
0.9,,,0.6,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3405
,,,,,,,0.8,0.7,0.9,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3407
0.9,,,0.8,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408
,,,,,,,0.7,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3409
,,,,,,0.6,,,,,0.7,,,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3410
0.6,,,,0.7,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3411
0.8,,0.7,0.5,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3412
,,,0.6,,,,,0.7,,,0.6,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3414
,,,,0.8,,0.9,,,,,0.7,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3416
,,,,,,,,,,,0.9,,,,,,,0.5,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3417
,,,,,,,,,,,0.8,,,,,,,0.5,0.7,,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3418
,,,,0.8,,0.8,,,,,,,,,,,0.7,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3419
,,,,0.8,,,,,,,,,,,,,,0.5,0.9,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3421
,,,,0.8,,0.6,,,,,,,,,,,,,0.9,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3422
,,,,0.9,,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3423
0.7,,,,,,0.7,,,,,,,,,,0.5,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3424
0.8,,,0.7,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3425
0.6,,,,0.8,,0.9,,,,,,,,,,,,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3426
,,,,0.7,,,,,,,,,,,,,,,0.8,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3428
,,,,,,,,,,,0.7,,,,,0.7,0.8,,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429
,,,,,,,,0.7,0.6,,0.9,,,,,,,,,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430
,,,,0.8,,0.7,,,,,0.6,,,,,,,,,,,0.9,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3431
,,,,0.7,,,,,,,0.5,,,,,,0.9,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3432
,,,,,,,,,,,0.9,,,,,0.7,,0.8,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3433
,,,,,,,,,,,0.9,,,,,0.5,,,0.8,,,,,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3434
0.6,,,0.5,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3435
,,,,0.8,,0.9,,,,,0.6,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3437
,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.8,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438
,,,,0.7,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440
,,,,0.7,,0.9,,,,,,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3441
,,,,,,0.9,,,,,0.8,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3442
,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3443
0.6,,,,,,,,0.5,,,0.7,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3444
,,,,,0.6,,,,,,0.7,,,,,0.7,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445
,,,0.6,0.8,,0.9,,,,,,,,,,,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3446
,,,,,,,0.8,,0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3447
,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3448
,,,0.8,,,0.9,,0.5,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3449
,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450
,,,0.7,0.8,,0.9,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3451
0.6,,,,0.8,,,,,,,,,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3453
,,,,0.6,,,,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,3454
,,,0.5,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,3455
,,,,0.6,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3456
,,,,0.8,,,,,,,0.6,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,3457
,,,,0.5,,,,,,,,,,,,0.7,,,0.9,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458
,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,3459
,,,,,,,0.8,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3460
,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,3461
,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,3462
0.5,,,,0.6,,0.9,,,,,,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3463
0.6,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,3464
,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.9,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,3466
,,,,,,,,,,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,3467
0.9,,,,0.5,0.6,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3468
0.7,,,,,,0.5,,,,,,,0.6,,,,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3469
0.5,,,,0.6,,,,,,,,0.8,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3470
,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,3472
,,,0.8,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,3473
0.5,,,,0.8,,0.9,,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3474
,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.9,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,3475
0.6,,,,,,,,,,,,,0.8,,,0.7,,,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476
