Rock,Metal,Alternative,Pop,Metalcore,Indie,Hip Hop,Punk,Hip-Hop,Rap,Reggaeton,Black Metal,Death Metal,Dark Folk,Heavy Metal,Gothic Rock,Symphonic Metal,Trip Hop,Alternative Rock,Reggae,Electronic,Indie Pop,Post-Punk,Goth,New Wave,Gothic,Industrial,Synthpop,Indie Rock,EBM,Alternative Metal,Darkwave,Hardcore,J-Core,Techno,Ambient,Drum and Bass,IDM,Noise,Doom Metal,Groove Metal,Post-Rock,Experimental,Dark Ambient,Psytrance,Gothic Metal,Nu Metal,Psychedelic Rock,Stoner Rock,Progressive Metal,Neofolk,Chillout,Progressive Rock,Psychedelic Trance,Soundtrack,Bulgarian Rock,Rockabilly,R&B,Dance,Soul,Thrash Metal,Speed Metal,Hardcore Punk,Folk,Punk Rock,Country,Psychobilly,Post-Hardcore,Shoegaze,Pop Punk,Pop Rock,Deathcore,Psychedelic Pop,Experimental Electronic,Emo,Christian Rock,Latin,Classical,Dream Pop,Teen Pop,Christian,Gospel,Instrumental,Jazz,Power Pop,Psychedelic,K-Pop,Classic Rock,Grunge,Acoustic,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3869
,,0.8,0.7,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3871
0.8,,0.9,0.7,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3873
0.9,0.7,,,,0.7,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3875
0.6,,0.7,0.8,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3876
,,,,,,,0.6,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3878
,,,,,,,0.6,,,,,0.7,,0.9,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3879
,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880
0.8,,0.9,,,0.6,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3881
,,0.9,,,0.8,,,,,,,,,,,,,,,0.6,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3883
,,,,,,,,,,,,,,,,,,0.8,,0.9,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3884
,,0.5,,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3886
,,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,0.9,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3887
0.8,0.9,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3888
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,0.8,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3889
0.8,,0.9,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890
,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,0.7,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3893
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,0.6,,,,,,,,0.5,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3894
,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3895
,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,,,0.8,,0.7,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896
,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3897
,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.9,,,,,0.7,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3898
