Electronic,Rock,Alternative,Industrial,Goth,Experimental,Synthwave,Dark Electro,Aggrotech,Psychedelic,Ambient,Downtempo,Dub,Electronica,Progressive Rock,Indie Pop,Gothic Metal,EBM,Darkwave,Electro-Industrial,Classical,Grunge,Post-Punk,Gothic,Metal,Folk Metal,Symphonic Metal,Neofolk,Heavy Metal,Alternative Rock,J-Rock,Techno,Breakbeat,Pop,Trip Hop,Gothic Rock,Nu Metal,Hip Hop,Post-Metal,Power Metal,Death Metal,Progressive Metal,Reggae,Black Metal,Doom Metal,Neoclassical,Post-Rock,Blues,Instrumental,Underground,Punk,Hard Rock,Thrash Metal,Rock n Roll,Indie,Rap,World,Synthpop,Neue Deutsche H\u00e4rte,Folk,Psychedelic Trance,Psybient,New Age,Alternative Metal,Hungarian Rock,House,Dance,Trance,Reggaeton,Latin,Indie Rock,R&B,EDM,Tropical House,Electro Pop,Hip-Hop,Emo Rap,Electropop,K-Pop,Synth-pop,Art Pop,Dream Pop,Metalcore,Disco,ASMR,Celtic,New Wave,Classic Rock,Post-Hardcore,Emo,Latin Pop,J-Pop,Country,Gospel,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4472
0.8,0.6,,0.9,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475
0.8,,,0.9,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4476
,,,,,,,,,0.9,0.8,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4478
0.8,,,,,,,,,,0.7,,,,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4479
,,,0.9,,,,,0.9,,,,,,,,,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4480
,0.9,0.8,,,,,,,,,,,,,,,,,,0.6,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4481
,,,0.8,,,,0.9,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4482
0.8,,0.5,0.9,,,,,,,,,,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4484
,,,0.8,,,,,,,,,,,,,,0.6,0.7,,,,0.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4485
0.5,0.6,,0.7,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4486
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4487
,,,,,,,,,,,,,,,,,,0.7,,,,,0.9,,,0.8,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4488
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4490
,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4491
,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4492
0.8,,,0.9,,,,,,,,,,,,,,0.8,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4493
0.8,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4494
,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4495
,,,,,,,,,,,,,,,,0.9,,0.8,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4497
,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.8,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4498
0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4499
