Hip Hop,Rap,Alternative R&B,Conscious Rap,Hip-Hop,R&B,Alternative,Electronic,Trap,Experimental,Pop,Indie,Soul,Rock,Metal,Folk,Country,Indie Rock,Psychedelic Pop,Emo Rap,Alternative Rock,Psychedelic,Classical,Punk,Hardcore,Heavy Metal,Progressive Rock,New Wave,Black Metal,Shoegaze,Indie Pop,Gothic Rock,Punk Rock,Pop Rock,Brazilian Rock,Brazilian,Doom Metal,Blues,Hard Rock,Glam Metal,Speed Metal,Death Metal,Ambient,Industrial,Gothic,Psychedelic Rock,Synth-pop,Power Metal,Post-Metal,Thrash Metal,Melodic Death Metal,Grunge,Blues Rock,Alternative Metal,Symphonic Metal,Emo,Folk Punk,Gothic Metal,Post-Rock,Progressive,Dance,French Chanson,Reggae,Electropop,Dream Pop,Brazilian Indie,Latin,Post-Hardcore,Classic Rock,K-Pop,Pop Punk,Metalcore,Experimental Rock,Glam Rock,Synthpop,Hardcore Punk,J-Rock,K-pop,MPB (Brazilian Popular Music),Folk Metal,Garage Rock,Electronica,Nu Metal,Goth Rock,Rap Rock,user_id
0.9,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4724
,0.9,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725
,0.8,,,0.9,,,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4726
0.9,0.8,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4727
1.0,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4728
0.9,,,,,0.8,0.6,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4729
,0.9,,,1.0,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4730
0.9,0.9,,,,0.8,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4733
1.0,0.9,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4734
,,,,,,0.9,0.6,,,,0.8,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4735
