Alternative,Post-Punk,Shoegaze,Electronic,Trip-Hop,Indie,Pop Punk,Rock,Hip Hop,Gangsta Rap,G-Funk,West Coast Rap,Rap,Chicano Rap,Comedy,Hip-Hop,Reggae,Dub,Reggaeton,Heavy Metal,Punk,Industrial,Blues Rock,Death Metal,Downtempo,Ambient,East Coast Rap,Hardcore Rap,Indie Pop,Mandopop,Hard Rock,Alternative Metal,Glam Metal,Post-Rock,Experimental,Pop,Dance,R&B,Folk,Progressive Rock,Classic Rock,Post-Hardcore,Alternative Rock,Emo,Film Score,Pop Rock,Metal,Punk Rock,Country,Grunge,Symphonic Metal,Psychedelic,J-Rock,Progressive Metal,Black Metal,Folk Metal,Doom Metal,Gothic Metal,Melodic Death Metal,Finnish Music,Power Metal,Thrash Metal,Epic Music,Metalcore,Deathcore,Hardcore,Classical,Instrumental,Nu-Metal,Trip Hop,Indie Rock,Britpop,New Wave,Soft Rock,Blues,Soul,Rockabilly,Brazilian Rock,Latin,Disco,Show Tunes,Funk Rock,Nu Metal,World,Brazilian,K-Pop,user_id
0.9,0.8,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4969
0.8,0.6,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4970
,,,,,,,,0.9,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4971
,,,,,,,,1.0,0.8,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4972
,,,,,,,,0.9,0.8,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4973
,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4974
,,,,,,,,,0.8,0.7,,0.9,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4976
,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4977
,,,0.7,0.9,,,,,,,,,,,0.6,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4978
,,,,,,,,0.9,,,,0.8,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979
,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.1,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4981
0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4982
,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4983
,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4985
