Rock,Alternative,Metal,Nu-Metal,Indie,Pop,Punk Rock,Indie Rock,Pop Rock,Alternative Rock,Grunge,Hard Rock,Punk,Electropop,Experimental,Hip Hop,Alternative R&B,Dance,Rap,Post-Punk,Garage Rock,Folk,Folk Rock,Progressive,Psytrance,Hip-Hop,Emo,Pop Punk,Post-Hardcore,Electronic,R&B,K-Pop,Dance-Pop,Gothic,Gothic Rock,Symphonic Metal,Darkwave,Neofolk,Ambient,Metalcore,Heavy Metal,Alternative Metal,Hardcore Punk,Martial Industrial,Industrial,Rockabilly,New Wave,Progressive Rock,Art Rock,J-Pop,Video Game Music,Death Metal,Black Metal,Thrash Metal,Power Metal,Folk Metal,Gothic Metal,Film Score,Classic Rock,Blues Rock,Dub,Dark Ambient,Drum and Bass,Reggae,Jazz,Blues,Funk,Synthpop,Classical,Latin,Neoclassical,Psychedelic Rock,Instrumental Rock,EBM,Country,Soul,Psychedelic,Sertanejo,Funk Carioca,Reggaeton,Latin Pop,Indie Pop,MPB (Brazilian Popular Music),Pop-Rock,Disco,Synth-pop,Dance-pop,IDM,Shoegaze,EDM,C-Pop,Progressive Metal,Sludge Metal,Experimental Rock,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5103
,0.8,,,,0.8,0.7,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5104
,,,,,,,0.6,,0.9,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5105
,,,,,,,,,,,,,0.9,0.8,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5106
0.9,0.8,,,0.8,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5107
0.9,0.8,,,0.8,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5108
,,,,0.9,,,,,0.8,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5109
,,,,,,,0.9,,0.8,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5110
0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5111
0.8,0.9,,,0.7,0.5,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5112
