Metal,Punk,Indie,Alternative,Folk,Rock,Jazz,Ambient,Indie Rock,Alternative Rock,Hip Hop,Electronic,Pop,Grunge,Drum and Bass,Dubstep,Jungle,Hip-Hop,Psychedelic,Psychedelic Rock,Noise Rock,Experimental Hip Hop,Punk Rock,IDM,Experimental,Rap Rock,Hardcore,Nu-Metal,Classic Rock,Hard Rock,Blues Rock,Southern Rock,Gothic Rock,Post-Rock,Instrumental,Rap,Post-Grunge,Nu Metal,Progressive Rock,World Music,Middle Eastern Music,Classical,Persian Classical,Trip Hop,Blues,Metalcore,Post-Hardcore,Reggae,R&B,Dance,Persian Traditional,Industrial,Downtempo,Psybient,World,Progressive Metal,Art Rock,Psychedelic Trance,J-Pop,Symphonic Metal,Heavy Metal,Thrash Metal,Anatolian Rock,Trip-Hop,Synth-pop,Traditional,Ethnic,Balkan Beats,Ethnic Fusion,Gypsy,Shoegaze,Country,Deathcore,Chillwave,Dream Pop,Witch House,Post-Punk,Avant-Garde,New Wave,Ska,French Chanson,Soul,Oldies,Alternative Metal,Indie Pop,Doom Metal,Neo-Soul,Noise,MPB (Brazilian Popular Music),Gothic Metal,user_id
0.8,0.7,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5232
0.7,,,0.9,,0.8,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5237
,,,,,,,,0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5238
0.8,,,0.7,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5241
,0.6,,,,,,,0.7,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5243
,0.8,0.7,,,,,,,0.9,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246
,,0.9,0.8,0.6,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247
,,,,,,,,,,,0.7,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5249
,,0.8,0.7,0.5,,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5250
,,,,,,,,,,,0.7,,,,,,,,0.8,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5251
,,0.9,0.8,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5252
,,0.6,0.9,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256
,,,,,,,0.8,,,,0.9,,,,,,,,0.5,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5259
0.8,0.7,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5260
0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5262
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5263
,,,,,,,0.8,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5264
0.9,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5265
,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5266
,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5267
0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5268
,,,,,,,,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.7,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5269
,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5270
0.9,,,0.7,,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271
,,,,,0.5,,,,,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5272
,,,,,,,0.7,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.9,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5273
,,,,0.7,,,,,,,,,,,,,,,,,,,,0.5,,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5274
,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5276
,,0.7,0.9,,0.8,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5277
,,0.7,0.9,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5278
,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5279
,,,,,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5281
,,,0.8,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5282
,,0.8,0.9,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5283
,,,,,,,0.7,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5285
,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5286
,,,,,,,,,0.7,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5287
,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5288
,,0.7,0.8,,0.9,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5290
