Heavy Metal,Rock,Gothic,Alternative,Electronic,Experimental,Ambient,Folk,Hip Hop,Progressive Rock,Metal,Pop,Shoegaze,Post-Hardcore,Alternative Rock,Goth Rock,Dream Pop,Indie,Classical,Hip-Hop,Jazz,Progressive Metal,Funk,Latin Rock,Post-Rock,Alternative Metal,Indie Rock,Psychedelic Rock,Post-Grunge,Post-Punk,Grunge,Goth,Progressive,Psychedelic,Classic Rock,Punk,MPB,Samba,Soul,Latin,Indie Folk,Art Pop,Chinese Pop,Hardcore,K-Pop,C-Pop,R&B,Scandinavian,Power Metal,Death Metal,Folk Metal,Hard Rock,Trance,New Age,Dance,Pop Rock,Scandinavian Pop,Rap,Techno,Nu Metal,Blues,Country,Emo,Brazilian Pop,Indie Pop,Brazilian,Reggae,MPB (Brazilian Popular Music),Christian,Brazilian Music,World,Afrobeat,Experimental Rock,Metalcore,Nu-Metal,Balkan Rock,Underground Hip-Hop,Hardcore Punk,Trap,Soundtrack,Drum and Bass,Brazilian Hip Hop,Electro Swing,Brazilian Rock,Psychedelic Pop,Sertanejo,Funk Carioca,Gospel,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5367
,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5368
,,,0.5,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369
,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5370
,0.8,,0.9,0.7,,,,,,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5372
,,,,0.8,0.9,,,,,,,0.6,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5373
,0.7,,0.8,,,,0.6,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5374
,0.7,,0.8,,0.6,,,,,,,0.5,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5375
,0.8,,,,,,,,,,0.7,,,,,,,0.6,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5376
,,,,,,,,,0.8,0.5,0.7,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5377
,,,0.8,,0.5,,0.6,,,,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5378
,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5379
,0.8,0.5,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5380
,,,0.8,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5381
