Post-Hardcore,Electronic,Rock,Metalcore,Alternative,Pop,Indie,Brazilian,Emo,Metal,Pop Punk,Punk,Brazilian Rock,Pop Rock,Alternative Rock,Hip-Hop,R&B,Punk Rock,Hardcore,Indie Rock,Grunge,Hip Hop,Soul,MPB (Brazilian Popular Music),Experimental,Blues Rock,Latin,Dance,K-Pop,Indie Pop,Folk,Drag,Classical,Baroque,Romantic,Contemporary Classical,Symphonic Metal,French Pop,Gothic Rock,Teen Pop,Nature Sounds,Dance-Pop,Synth-pop,Adult Contemporary,Jazz,Acoustic,Singer-Songwriter,MPB (Popular Brazilian Music),Shoegaze,Post-Punk,Dream Pop,Alternative R&B,Reggae,Brazilian Hip Hop,Country,Brazilian Music,Classic Rock,Brazilian Pop,Samba,MPB,Funk,Christian/Gospel,Worship,user_id
0.9,0.7,0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5599
,,0.6,,0.5,0.8,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600
,,0.8,,0.7,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5601
,,0.7,,0.9,0.6,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5602
0.9,,0.8,0.7,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5603
,,0.9,,0.8,,0.8,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5604
,,0.9,,0.6,,0.7,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5605
,,0.7,,,0.8,,,0.5,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5606
,,,,,0.6,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5607
0.6,,,,0.5,,0.7,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5608
0.6,,,,,0.6,,,,,,,,,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5609
,0.5,0.7,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5610
,,,,0.5,0.9,0.7,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5611
,,0.9,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5612
,,,,,,,,0.5,,,,,,0.7,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613
,,0.9,,0.8,0.5,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5614
,,0.9,,0.7,0.6,0.8,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5615
,,0.9,,0.9,,0.8,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5616
,,0.9,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5617
,,0.7,,0.6,0.8,0.4,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5618
,0.7,,,0.7,0.9,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5619
,,0.8,,0.7,,0.7,,,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5620
,,0.7,,0.6,0.9,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5621
,,0.9,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5622
,,0.7,,0.6,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5623
,,0.9,,0.7,0.5,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5624
,,0.7,,0.6,0.9,0.8,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5625
,0.6,,,0.8,,,,,,,,,,,,,,,0.9,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5626
0.7,,,,,,,,0.9,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5627
,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5628
,0.6,0.5,,,0.9,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5629
,,,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5630
,,,,,0.9,,,,,,,,,,,0.8,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5632
,0.5,,,,0.9,0.6,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5633
