Pop,R&B,Alternative Rock,Hip Hop,Electronic,Punk,Alternative,Rock,Pop Punk,Dance,Teen Pop,Indie,K-Pop,Folk,Hip-Hop,Rap,Contemporary,Metal,MPB (Brazilian Popular Music),Indie Rock,Emo,Grunge,Soul,Indie Pop,Jazz,Blues,Classic Rock,Reggae,Death Metal,Heavy Metal,Hard Rock,Brazilian,Psychedelic Rock,Post-Hardcore,Christian,Experimental,Latin,Symphonic Metal,Dream Pop,Post-Punk,Post-Punk Revival,Britpop,Psychedelic,Math Rock,World,Punk Rock,Progressive Metal,Finnish Rock,New Wave,Nu Metal,Electronic Rock,Pop Rock,Soundtrack,Black Metal,Extreme Metal,Post-Metal,Shoegaze,Underground Hip Hop,Cloud Rap,J-Pop,C-Pop,Hardcore,Trap,Alternative R&B,Progressive Rock,Baroque Pop,Emo Rap,Psychedelic Pop,Synth-pop,Pop Rap,Metalcore,Polish Rock,user_id
0.8,0.7,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5816
0.7,,,,,0.9,0.8,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5817
0.9,0.7,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5818
0.9,0.6,,,,,0.5,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5819
0.9,,,,,,0.6,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5820
0.9,,,,,,,0.6,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5821
0.9,0.6,,,,,,,,0.8,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5822
0.8,,,,,0.5,0.9,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5823
0.9,,,,0.7,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5825
0.9,,,,0.7,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5827
