Indie Rock,Electronic,Alternative,Synthpop,Pop,Jazz,Swing,Indie,Soul,Rock,Hip-Hop,Dance,Synth-pop,R&B,Punk,Country,Folk,K-Pop,Indie Pop,Alternative Rock,Latin Pop,Dream Pop,Art Pop,Electropop,Post-Hardcore,Metalcore,Emo,Shoegaze,Post-Punk,Latin,Hard Rock,Grunge,Classic Rock,Gospel,Funk,Pop Rock,Experimental,Experimental Rock,Hip Hop,Lo-Fi,Comedy,Worship,French,Meditation,MPB (Brazilian Popular Music),Forr\u00f3,Sertanejo,Brazilian,Alternative R&B,K-pop,MPB,Samba,Symphonic Metal,Soundtrack,Reggae,Pop Punk,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300
,,,,0.8,0.7,0.6,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6302
,0.7,0.8,,0.6,,,0.9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6303
,0.8,,,0.9,,,0.6,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6304
,0.8,,,0.9,,,0.7,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6305
,0.7,0.8,,0.6,,,0.9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6306
,,,,1.0,,,,,,0.5,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6308
,,0.7,,,,,,,0.9,,,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6310
,0.6,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6311
,,0.8,,0.8,,,0.9,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6312
,0.5,,,0.9,,,0.7,,0.6,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6313
