Pop,R&B,Soul,Hip-Hop,Latin,Dance,Country,Rock,Metal,Alternative,Indie,Pop Rock,Electronic,Alternative Rock,Indie Rock,Post-Britpop,Sertanejo,Forr\u00f3,Funk Carioca,Indie Pop,Alternative R&B,Art Pop,Electropop,K-Pop,Punk,Brazilian Music,Rap,Gospel,MPB (Brazilian Popular Music),Psychedelic,Nu Metal,Punk Rock,Metalcore,Teen Pop,Folk,Synth-pop,Classic Rock,Experimental,Visual Kei,Grunge,Electro,Latin Rock,Brazilian Pop,Hip Hop,Contemporary,Funk,Indie Folk,Brazilian,Children's Music,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6762
0.9,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6763
0.6,,,,,,0.7,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6764
0.9,0.8,,,,,,,,0.6,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6765
0.9,0.7,,,,0.8,,,,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6766
,,,,,,,,,,,0.7,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6767
0.9,0.8,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6768
0.9,0.8,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6769
0.9,0.7,,,0.6,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6770
0.9,0.8,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6771
0.9,0.8,0.5,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6773
,,,,,,,,,,,,,,0.7,,,,,0.9,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,6774
0.9,,,,0.7,0.8,,0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6775
0.9,,,,0.7,,0.6,0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6776
0.9,0.8,,,,0.7,,,,,,,,,,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,6777
0.9,0.4,,,,,0.6,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,6778
0.9,0.7,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,6779
1.0,0.7,,,,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6780
0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,6782
0.9,,,0.6,,,,0.5,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6783
0.9,0.7,,,,0.6,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,6784
0.9,,,,,,,0.6,,0.7,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,6785
0.9,0.7,,,,,,0.6,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6786
0.9,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,6787
1.0,0.7,,,,0.7,,,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,6788
0.9,0.8,,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,6789
1.0,0.7,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6792
0.9,0.7,0.8,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6793
0.9,0.8,,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6794
0.9,,,,,0.8,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6795
0.9,0.6,,,,,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,6797
0.9,0.7,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798
,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.9,0.8,0.8,,,,,,,,,,,,,,,,,6799
