Pop,R&B,Hip-Hop,Indie,Bossa Nova,Electronic,MPB (Brazilian Popular Music),Alternative,Rock,Punk,Country,Dance,Synth-pop,K-Pop,J-Pop,Latin,Soul,Metal,Rap,Blues,Psychedelic,Symphonic,Power Metal,Gothic,Brazilian Music,Progressive Rock,Gothic Rock,Death Metal,Alternative Rock,Heavy Metal,Thrash Metal,Hard Rock,Classic Rock,Emo,Pop Punk,Alternative Metal,Metalcore,Black Metal,Progressive Metal,Experimental,Brazilian Pop,Reggae,Brazilian Rock,Hip Hop,Indie Pop,Punk Rock,Post-Hardcore,Folk,Progressive,Dark Ambient,Doom Metal,Electronicore,Folk Rock,Glam Rock,Glam Metal,Nu Metal,Stoner Rock,Atmospheric Black Metal,Folk Metal,Post-Black Metal,Symphonic Metal,Psychedelic Rock,Indie Rock,Jazz Fusion,Rockabilly,Psychobilly,Hardcore,Grunge,Ambient,Industrial,Goth,Drum and Bass,Pop Rock,Gospel,Disco,Brazilian,Instrumental,Jazz,Flamenco,Film Score,Sertanejo,Trip-Hop,Pop-Rock,Post-Punk,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6989
0.9,0.7,0.6,0.5,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6990
0.9,0.8,0.6,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6991
0.9,,,0.8,,0.6,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6993
0.9,,,,,,,,0.7,0.6,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6994
1.0,,,,,0.6,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6995
0.9,0.7,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6996
0.8,,,,,,,0.6,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6999
0.9,,,,,,,,,,,0.5,,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000
0.9,0.7,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7001
