Indie,Alternative Rock,Psychedelic Rock,Folk,Brazilian Pop,Rock,Psychedelic,Metal,Alternative,Classic Rock,MPB,Bossa Nova,Samba,Tropicalia,Jazz,Pop,R&B,Dance,Electronic,Experimental,Heavy Metal,Classic,Brazilian,Rap,Hip Hop,Funk,K-Pop,Punk,Emo,J-Pop,Hip-Hop,MPB (Brazilian Popular Music),Art Pop,Soundtrack,Country,Soul,Disco,World,Sertanejo,Witch House,Synthpop,Latin,Gospel,Pop Rock,Indie Rock,Alternative R&B,Pagode,Forr\u00f3,Synth-pop,Indie Pop,Show Tunes,Pop Punk,Post-Punk,Brazilian Music,Symphonic Metal,Power Metal,Gothic Metal,Progressive Rock,Classical,Post-Grunge,Britpop,Indie Folk,Latin Pop,Dance/Electronic,Shoegaze,Reggae,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687
0.9,,,,,0.8,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688
0.7,,0.8,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689
,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690
,,,,,,,,,,,,,,,0.9,0.7,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691
,,,,,0.9,,,,,,,,,,0.7,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692
0.8,,,,,0.7,,,0.5,,,,,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693
0.9,,,,,0.6,,,0.7,,,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694
,,,,,,,,,,,,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695
0.7,,,0.5,,0.6,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696
0.7,,,,,0.8,,0.6,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697
0.9,,,,,0.8,0.6,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698
0.9,,,,,0.5,,,0.8,,,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699
0.8,,,,,0.9,,,0.8,,,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700
,0.7,,,,,,,,,,,,,,,0.8,,,0.7,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701
0.6,,,,,,,,0.5,,,,,,,0.9,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702
