Indie,Alternative,Pop,Hip-Hop,Sertanejo,Rock,Blues,Rap,Electronic,Psychedelic,Post-Punk,Punk,Dance,Folk,World,K-Pop,R&B,Emo,Funk,Indie Pop,Electropop,Hip Hop,Indie Rock,Brazilian,Samba,Metal,Pop Rock,Latin,MPB,Soul,Synth-pop,Disco,Alternative Rock,Trip Hop,Indie Folk,Goth Rock,New Wave,Art Pop,Country,Garage Rock,Gypsy Punk,Post-Grunge,Ambient,Post-Hardcore,Pop Punk,Metalcore,Electronicore,Rap Rock,Heavy Metal,Hardcore,Classical,Jazz,Medieval Folk,Punk Rock,J-Pop,Video Game Music,Experimental,Emo Rap,Cloud Rap,Nu Metal,Hard Rock,Alternative Metal,Classic Rock,Post-Rock,Deathcore,House,Techno,Christian,Hardcore Punk,Melodic Hardcore,Ska,Reggae,Brazilian Rock,Grunge,user_id
0.8,0.9,0.7,0.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7226
0.7,0.8,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7227
0.9,0.8,0.7,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7228
0.9,0.8,,,,0.8,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7229
,,0.9,0.6,,0.7,,,,,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7230
0.8,0.6,,,,0.7,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7231
0.7,0.6,0.8,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7233
0.6,,0.8,,,0.7,,,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7234
,0.8,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7235
0.8,0.5,0.9,,,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7236
0.8,0.9,0.7,,,,,,,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7237
0.7,,0.7,,,0.8,,,,,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7238
,0.8,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7239
0.7,,0.9,,,,,,0.6,,,,,0.5,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7240
,,0.7,0.5,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7241
0.6,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7242
0.8,0.9,0.6,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7243
0.7,,0.9,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7244
0.6,0.9,0.8,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7245
0.9,0.8,0.5,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7246
0.7,,0.9,0.5,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7249
0.6,0.7,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7250
0.6,0.5,0.9,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7251
0.9,0.8,0.7,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7252
,,1.0,,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7253
0.9,0.8,0.5,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7255
0.8,0.6,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7256
0.9,0.8,0.6,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7257
0.8,0.6,0.9,0.7,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7259
,0.6,0.9,,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7260
,,0.9,,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7261
,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7262
0.5,,0.9,,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7263
0.7,0.6,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7264
0.6,,0.9,,,,,,0.7,,,,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7265
0.7,0.6,0.9,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7266
,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7268
0.8,0.9,0.7,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7269
,0.5,0.9,,,0.7,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7271
,0.6,0.9,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7272
,,0.9,,,,,,,,,,,,,0.8,,,,0.7,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7273
,,0.9,,,,,,0.7,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7274
0.9,0.7,0.8,,,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7275
0.9,,0.8,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7276
0.5,,0.9,,,0.6,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7277
0.6,0.7,0.8,,,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7278
,,0.9,,,,,,0.6,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7279
,,0.9,0.6,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280
0.9,0.8,0.7,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7281
,,,,,,,,,,,0.6,,,,,,,,,,,0.9,,,,,,,,,,0.8,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7282
0.9,0.6,0.8,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7283
0.7,,0.9,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7284
,0.8,0.9,0.6,,,,,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7285
,,,,,,,,,,,,,,,,,0.6,,0.8,,,,,,,0.7,,,,,,0.9,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7286
0.5,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7287
0.8,0.7,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288
0.9,0.8,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7289
0.7,0.9,,,,0.5,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7291
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.9,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,7298
,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.9,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300
0.7,0.6,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,7302
,0.6,0.8,0.7,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7303
0.6,0.8,,,,0.9,,,,,,0.5,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7306
,,0.9,0.7,,,,,,,,,,,,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7308
0.6,0.9,,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7310
0.9,,0.7,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,7311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.6,0.8,,,0.5,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,7313
0.8,0.9,0.7,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7314
,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,7315
,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.8,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,7316
,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,7317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,7318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.7,0.8,,,,,0.7,,,,,,,0.6,,,,,,,,,,,7320
,,0.7,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7321
,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,7322
,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,7323
,,0.9,,,0.6,,,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7325
,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.5,,,,,,,7326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,,,7327
0.7,,,,,0.9,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,7328
0.8,0.6,,0.6,,0.7,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7329
0.5,0.8,,,,0.9,,,,,,0.6,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7331
0.9,,,0.7,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,7332
0.9,0.7,,,,0.8,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7333
0.8,0.8,,,,0.9,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7334
0.7,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,7335
0.6,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,7336
,,0.7,,,0.9,,,,,,0.4,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,7337
0.7,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,7338
,,0.4,,,0.8,,0.6,0.5,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7339
0.7,,0.9,,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7340
0.7,,0.8,,,0.6,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,7341
,,,,,,,,,,,,,,,0.8,,,,0.9,,,0.5,,,,,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7342
0.6,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,7343
0.9,0.8,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7344
0.6,0.8,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,7345
,0.7,,,,0.9,,0.6,,,,0.8,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7346
,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.5,,7347
0.9,0.8,0.5,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7348
