Classical,Romantic,Opera,Symphony,Rock,Hard Rock,Heavy Metal,Alternative Metal,Brazilian Rock,Alternative Rock,Grunge,Pop Rock,Indie Rock,Hip-Hop,Punk,Alternative,Rap,Indie,Classic Rock,Metal,Hardcore,Progressive,Gothic Rock,Pop,Darkwave,Symphonic Metal,Death Metal,Progressive Rock,Blues,Jazz,Folk,Experimental,World,Post-Grunge,Punk Rock,Post-Hardcore,Emo,Pop Punk,Soul,Britpop,Progressive Metal,Nu Metal,Garage Rock,Psychedelic,Electronic,Ambient,Country,Indie Pop,Electro Pop,Art Pop,Metalcore,Dubstep,Rap Rock,Deathcore,R&B,Polish Pop,Gothic,Reggae,K-Pop,Funk,Soft Rock,Trip Hop,Disco,Synth-pop,Italian Music,Dance,Soundtrack,Latin,Teen Pop,Contemporary R&B,Contemporary,Industrial,EBM,Post-Punk,New Wave,Synthpop,Easy Listening,Post-Rock,Neofolk,Goth,Shoegaze,user_id
1.0,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7967
,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7969
,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7971
,,,,0.9,,,,,,,,,0.8,0.7,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7972
,,,,0.9,,,,,,0.7,,,,,0.8,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7973
,,,,0.8,,,,,,,,,,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7974
,,,,,,,0.8,,,,,,,,,,,,,,,0.9,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7975
,,,,,,0.9,,,0.8,0.7,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7977
,,,,0.9,,,,,,,,,,,0.7,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7978
,,,,0.9,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7979
,,,,0.9,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7980
,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7981
,,,,0.9,0.7,,,,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7982
,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,0.9,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7983
,,,,0.9,,,,,,,,,,,0.8,0.8,,,,,,,0.7,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7984
,,,,0.9,,,,,,,,,0.5,0.8,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7987
,,,,0.9,,,,,,,,,,0.7,0.8,,,,0.8,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7988
,,,,0.9,,,,,,,,,,0.7,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7989
,,,,0.8,,,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7990
,,,,,,,,,,,,,,0.8,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7991
,,,,0.7,,,,,,,,,,0.9,0.8,,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7992
,,,,,,,,,,,,,0.5,,,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7993
,,,,0.9,,,,,,,,,,0.7,0.6,,,,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7994
,,,,0.9,,,,,,,,,,,0.8,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7995
,,,,0.8,,,,,,,,,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7997
,,,,0.9,,,,,,,,,,0.7,0.8,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7998
,,,,,,,,,,,,,,,0.5,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7999
,,,,0.6,,,,,,,,,,,0.8,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8001
,,,,0.6,,,,,,,,,,,0.7,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8002
,,,,0.7,,,,,,,,,,,0.9,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8004
,,,,,,,,,0.9,,,,,,,,,,,,,0.6,,,0.7,,0.5,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8005
,,,,,,,,,,,,,,,0.6,,0.7,,,,,,0.9,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,8006
,,,,0.8,,,,,,,,,0.7,,0.9,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8007
,,,,0.9,,,,,,,,,,,0.8,,0.8,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8008
,,,,0.8,,,,,,,,,,,0.9,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8009
,,,,0.9,,,,,,,,,,0.6,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8010
,,,,0.8,,,,,,,,,,,0.9,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8011
,,,,,,,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,8012
,,,,0.7,,,,,,,,,,,0.8,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,8013
,,,,0.7,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,8014
,,,,,,,,,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,8015
,,,,,,,,,,,,,,,0.7,,,,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,8016
,,,,,,,,,,,,,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,8018
,,,,,,,,,,,,,0.6,,0.4,,0.5,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,8019
