Indie,Pop,Alternative,Electronic,Rock,Pop Punk,Alternative Rock,Indie Rock,Emo,Hip-Hop,Nu Metal,Post-Hardcore,R&B,Dance,Soul,Broadway,Country,Latin,Folk,Jazz,Brazilian,Christian/Gospel,Experimental,Latin Pop,Reggae,Punk,Pop Rock,Rap,Metal,K-Pop,Contemporary,Teen Pop,Dance Pop,Contemporary R&B,Symphonic Metal,Indie Pop,Gospel,Sertanejo,Classic Rock,Psychedelic Rock,Blues Rock,Britpop,Ambient,Gothic,Synthpop,Trance,New Wave,Soft Rock,Blues,House,Techno,Electropop,Samba,Italian,J-Pop,MPB,World Music,Post-Punk,user_id
0.8,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800
,,,0.7,,0.8,0.9,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801
0.4,0.8,0.6,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802
,,,0.7,,,0.9,0.7,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806
,0.9,,,0.6,,,,,,,,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807
0.7,0.9,0.7,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808
,0.9,0.5,,,,,,,,,,,0.6,,,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809
0.8,0.6,0.9,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810
0.7,0.8,0.6,,,,,,,,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812
0.5,0.9,0.7,,0.8,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813
