Pop,Rock,Post-Hardcore,Alternative,Indie,R&B,Electronic,Indie Rock,Alternative Rock,Post-Punk,Garage Rock,K-Pop,Metal,Pop Punk,Emo,Hip-Hop,Punk,Folk,Indie Pop,Brazilian,Heavy Metal,Nu Metal,Rap,Hardcore,Industrial,Progressive Rock,Post-Rock,Experimental Rock,Alternative R&B,Emo Rap,Melodic Hardcore,Christian,Worship,Gospel,Pop Rock,Country Pop,Hip Hop,Reggae,Hard Rock,Symphonic Metal,Power Metal,Country,Punk Rock,Metalcore,Screamo,Alternative Metal,Latin Pop,Rap Rock,Acoustic,Persian Hip-Hop,Grunge,Persian Pop,Film Score,Classical,Experimental,Psychedelic,Progressive,Ambient,Symphonic,Teen Pop,Soundtrack,Drum and Bass,Blues Rock,Dance,Post-Grunge,New Age,Soul,Gothic Rock,Doom Metal,New Wave,Turkish Music,Classic Rock,Latin,Reggaeton,Balkan Music,Thrash Metal,Death Metal,Black Metal,user_id
0.7,0.8,0.6,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8469
0.9,,,0.7,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8470
,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8471
0.9,0.7,,0.7,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8473
0.7,0.9,,0.8,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8474
,,,,,,0.7,,0.9,,,0.7,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8476
0.8,0.6,,0.7,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8477
0.5,0.9,,0.8,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8478
0.5,0.9,,0.8,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8479
0.9,0.7,,0.5,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8480
0.8,0.7,,0.5,0.6,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8481
