Rock,Punk,New Wave,Indie,Post-Punk,Pop,Jazz,Classical,Dance,Traditional,Folk,Classic Rock,Alternative,Electronic,Heavy Metal,Thrash Metal,Hard Rock,Speed Metal,Hip-Hop,R&B,Latin,J-Pop,French Chanson,New Age,Fado,MPB (Brazilian Popular Music),Country,Reggae,Blues,Pop Rock,Brazilian,Metal,Acoustic,World Music,Celtic,Alternative Rock,World,Soul,Experimental,Bossa Nova,Funk,Acid Jazz,MPB (Popular Brazilian Music),Brazilian Music,Soft Rock,Pop Punk,Electronica,Indie Rock,Psychedelic Rock,Post-Punk Revival,Metalcore,Indie Pop,Indie Folk,Psychedelic,Garage Rock,Samba,Chanson,Brazilian Pop,Progressive Metal,Children's Music,Latin Rock,Folk Rock,Soundtrack,Emo,Post-Hardcore,MPB,Ax\u00e9,Hip Hop,Tropic\u00e1lia,K-Pop,Italian Music,Contemporary,Rap,Instrumental,Contemporary Christian,Gospel,Brazilian Rock,user_id
0.9,0.8,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8711
,,,,,0.9,0.7,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8712
0.9,,,0.8,,,,,,,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8713
0.8,,,0.8,,,,,,,0.7,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8714
,,,,,,,,,,,,,,1.0,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715
,,,,,,0.7,,,,,,,,,,,,0.8,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716
,,,0.7,,0.9,,,,,,,,,,,,,,,0.6,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8717
0.7,,,0.8,,0.5,,,,,,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718
0.8,0.6,,0.9,,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8720
0.8,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721
0.7,,,,,0.9,0.6,,0.5,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8723
0.9,,,,,0.8,,,,,,0.8,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8725
0.9,,,0.8,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8726
0.9,0.7,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8727
0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8728
0.9,,0.5,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8729
0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8730
0.9,,,0.6,,0.7,,,,,0.8,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8731
0.9,,,,,0.8,,0.7,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8732
0.6,,,0.7,,0.8,,,,,,,0.9,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8733
,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8735
,,,0.6,,0.8,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8736
0.7,,,,,0.9,,,,,,,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8737
,,,,,0.8,,,,,0.9,,0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8738
,,,0.9,,,,,,,,,0.8,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8739
,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8740
