Rock,Pop,Indie,Alternative,Rap,New Wave,K-Pop,Electronic,Symphonic Metal,R&B,Hip-Hop,Latin,Metal,Emo,Pop Punk,Alternative Rock,Reggae,Metalcore,Post-Hardcore,Soul,Heavy Metal,Thrash Metal,Death Metal,Hard Rock,Progressive Metal,Punk,Psychedelic,Brazilian Rock,MPB (Popular Brazilian Music),Brazilian Pop,MPB (Brazilian Popular Music),Classic Rock,Religious,Britpop,Post-punk,Indie Rock,Brazilian Popular Music,Blues Rock,Post-Punk Revival,Pop Rock,Nu Metal,Indie Pop,Grunge,Folk,MPB,Blues,Psychedelic Rock,Post-Punk,Brazilian,Hip Hop,Pop-Rock,Bossa Nova,Shoegaze,Psychedelic Pop,Classical,New Age,Black Metal,Ambient,Funk,Punk Pop,Singer-Songwriter,Acoustic,Glam Metal,Art Pop,Industrial,Brazilian Music,Experimental,Punk Rock,Samba,Garage Rock,Funk Rock,Jazz,Alternative/Indie,Post-Rock,Hardcore,Dream Pop,user_id
0.8,0.7,0.6,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8827
0.7,0.8,0.9,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8828
0.7,0.8,0.6,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8829
0.7,0.8,,0.9,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8830
,0.9,0.8,0.6,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8831
0.8,,0.9,0.7,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8832
0.7,0.6,0.8,0.9,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8833
0.7,0.5,0.9,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8834
0.6,0.8,0.9,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8835
,,0.6,,0.9,,,,,,,,,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8837
0.7,0.7,0.6,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8838
,0.9,0.7,0.5,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8839
0.9,,0.6,,0.7,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8840
0.9,0.6,,,,,,,,,,,0.5,,,,0.7,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8841
,,,,,,,,,,,,,,,,,,,,1.0,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8842
,,,,,,,,,,,,,,,,,,,,1.0,0.8,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8843
0.6,0.9,0.7,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8844
