Indie,Rock,Alternative,Pop,Metal,Brazilian,R&B,Electropop,Synth-pop,Psychedelic,Folk,Punk,Electronic,Pop Rock,MPB (Brazilian Popular Music),Doom,Black Metal,Progressive,K-Pop,Post-Hardcore,World,Classic Rock,Latin,Teen Pop,Dance-pop,Sertanejo,Death Metal,Heavy Metal,Thrash Metal,Melodic Death Metal,Grunge,Indie Rock,Post-Punk,Experimental,Country,Pop Punk,Alternative Rock,New Age,Hip-Hop,Deathcore,Metalcore,Alternative Metal,Industrial,Hard Rock,Progressive Metal,Rap,Dream Pop,Ambient,Post-Rock,Psychedelic Rock,Nature Sounds,Indie Pop,Post-Grunge,Shoegaze,Punk Rock,Emo,Indie Folk,Progressive Rock,Power Metal,Hip Hop,Gothic,Dance,Blues,Hardcore,Reggae,Gothic Rock,Brazilian Pop,Soul,Hardcore Punk,Christian Rock,Folk Metal,Underground Rap,Brazilian Rock,Brazilian Funk,Jazz,Acoustic,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9273
0.9,0.7,0.8,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9274
0.6,,,0.9,,,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9275
,0.9,,,0.8,0.5,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9276
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9277
0.9,0.8,0.8,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9278
0.9,0.8,0.7,,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9279
0.7,0.5,0.6,0.9,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9280
,0.7,0.6,,0.8,,,,,,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9281
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9282
0.9,0.8,0.8,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9283
0.6,0.7,0.7,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9284
0.9,0.8,0.8,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9285
0.9,0.8,0.7,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9286
0.8,0.9,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9287
0.9,0.7,0.8,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9288
,0.8,,,0.9,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9289
,0.7,,0.9,,,0.5,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9290
,0.7,0.8,0.9,,,,,,,,,0.6,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9291
0.6,0.7,0.9,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9292
,,,0.9,,,,,,,,,,,,,,,,,,,0.7,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9293
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9294
,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.5,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9295
0.9,0.5,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9296
0.9,0.6,0.8,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9297
0.9,0.6,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9298
0.8,0.7,0.9,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9299
0.9,0.6,0.7,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9300
,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.6,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9301
0.9,0.6,0.8,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9302
0.9,,0.6,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9304
0.9,0.6,0.8,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9305
,0.8,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9306
0.9,,0.8,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9307
0.7,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9308
,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9310
0.9,0.6,0.7,0.5,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9311
0.9,,0.7,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9312
0.9,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9313
