Rock,Alternative,Folk,Indie,Classic Rock,Hip Hop,Brazilian Rap,R&B,Pop,Punk,Psychedelic,Shoegaze,Psychedelic Rock,Alternative Hip-Hop,Progressive Rock,Hip-Hop,Grunge,Indie Rock,Alternative Rock,Punk Rock,Dream Pop,Latin,Blues,Post-Punk,Progressive,Electronic,Rap,Trap,K-Pop,Garage Rock,Post-Rock,Experimental,Hardcore,Emo,Post-Hardcore,Italian Indie,New Wave,Brazilian,Funk,Britpop,Pop Punk,Metalcore,Dubstep,Heavy Metal,Brazilian Music,Alternative Metal,Reggae,Metal,Acoustic,Pop Rock,Indie Folk,Soul,Hard Rock,Subliminal,Blues Rock,Reggaeton,Synthpop,Brazilian Pop,Dance,Ballad,Thrash Metal,Disco,Thrash,Death Metal,Groove Metal,Reggae Metal,Country,Brazilian Rock,Jazz,user_id
0.9,0.8,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9833
,0.6,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9834
0.9,0.8,,0.5,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9835
0.5,0.7,0.6,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9836
0.7,0.8,,0.9,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9837
,,,0.8,0.7,,,,,,,,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9838
0.6,0.8,,0.9,,,,,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9839
0.7,0.8,,0.9,,,,,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9840
,,,,,,,,,,,,,,,,0.8,0.9,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9841
0.7,0.9,,0.8,,,,,0.6,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9842
