Rock,Alternative,Indie,Pop,Psychedelic,Hip Hop,R&B,Punk,Rap,Reggae,Folk,Metal,Death Metal,Grindcore,Trap,Hardcore Punk,Electronic,K-Pop,Indie Rock,Pop Rock,Hip-Hop,Shoegaze,Metalcore,Sertanejo,Blues,Punk Rock,Post-Hardcore,Emo,Alternative Rock,Hardcore,Brazilian Rock,Pop Punk,Post-Grunge,Ska,Grunge,Melodic Hardcore,Post-Punk,Psychedelic Rock,Heavy Metal,Thrash Metal,Country,New Wave,Skate Punk,Progressive Rock,Classic Rock,Brazilian Hip Hop,Samba,Indie Folk,Brazilian Indie,Hard Rock,Alternative Metal,Nu Metal,Britpop,Christian/Gospel,Brazilian Pop,Indie Pop,Funk,Experimental,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9943
0.9,0.7,0.6,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9944
,0.5,0.6,0.8,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9945
0.8,0.6,,,,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9946
0.8,0.8,0.9,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9947
0.9,0.8,,,,,,0.7,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9949
,,,,,,,,0.7,,,,0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9950
0.8,0.9,0.6,,,,,,,,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9951
,0.5,,,,,,,,,,,,,,,,0.8,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9952
0.7,0.8,0.9,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9953
0.8,,,0.7,,,,,0.7,,,,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9954
0.9,0.8,,0.7,,,,,,,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9955
0.8,0.7,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9956
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9957
,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9959
,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.9,,0.7,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9960
,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,0.9,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,9961
0.7,0.9,0.8,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9962
,0.7,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9963
,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.9,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,9964
0.8,0.6,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,9965
0.9,0.7,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,9966
,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.8,0.7,0.6,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,9967
,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,0.6,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,9968
0.6,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.3,,,,,,,,,,,,,,,,,,9969
,,0.8,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9970
,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.9,,,0.8,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,9971
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.5,0.6,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,9972
0.9,0.7,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,9973
,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,9974
,,0.7,,,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9975
0.8,0.9,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9976
,,,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,9977
0.8,0.5,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9978
,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9979
,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,9980
0.7,0.8,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,9981
0.9,0.8,,,,,,,0.8,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9983
0.8,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,9984
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.5,0.6,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,9985
,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,0.8,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,9986
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,0.6,,,,,,,,,9987
0.8,0.6,,,,,,0.9,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9988
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.6,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,9989
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.7,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,9990
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.6,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,9991
,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,9992
0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9993
0.9,0.7,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9994
0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.6,,,,,,9995
0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.5,0.7,,,,9996
,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,9998
